framework,experiment,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,elapsed_epoch_sec
keras,02_batch_order_alignment,2026,1,2.065765380859375,0.1752999722957611,2.5945630073547363,0.12534184753894806,0.0010000000474974513,159.78508970800613
keras,02_batch_order_alignment,2026,2,1.8216547966003418,0.2540239989757538,2.0059714317321777,0.17684593796730042,0.0010000000474974513,157.7975987499958
keras,02_batch_order_alignment,2026,3,1.703285574913025,0.29499560594558716,1.835352897644043,0.2556973695755005,0.0010000000474974513,161.61110750000807
keras,02_batch_order_alignment,2026,4,1.6504523754119873,0.32562676072120667,1.8419736623764038,0.2825888693332672,0.0010000000474974513,161.82941712500178
keras,02_batch_order_alignment,2026,5,1.6242849826812744,0.33850356936454773,1.8031977415084839,0.27484047412872314,0.0010000000474974513,161.93169920799846
keras,02_batch_order_alignment,2026,6,1.5762217044830322,0.3618183732032776,1.733892560005188,0.3144940733909607,0.0010000000474974513,160.50471945799654
keras,02_batch_order_alignment,2026,7,1.5538194179534912,0.37801191210746765,2.050346612930298,0.2912488579750061,0.0010000000474974513,160.2140247089992
keras,02_batch_order_alignment,2026,8,1.5364726781845093,0.38562092185020447,1.5661776065826416,0.3769370913505554,0.0010000000474974513,159.91679233300965
keras,02_batch_order_alignment,2026,9,1.5091549158096313,0.3980099558830261,1.6099199056625366,0.3710118532180786,0.0010000000474974513,160.33652883399918
keras,02_batch_order_alignment,2026,10,1.5089870691299438,0.4038630425930023,1.7407852411270142,0.3144940733909607,0.0010000000474974513,161.47124454200093
keras,02_batch_order_alignment,2026,11,1.4719678163528442,0.4208369851112366,1.5191625356674194,0.40154966711997986,0.0010000000474974513,162.36922108300496
keras,02_batch_order_alignment,2026,12,1.4857014417648315,0.41030144691467285,1.6047468185424805,0.35141295194625854,0.0010000000474974513,162.02853291700012
keras,02_batch_order_alignment,2026,13,1.454906702041626,0.43078723549842834,2.236443519592285,0.2114858776330948,0.0010000000474974513,162.9227925830055
keras,02_batch_order_alignment,2026,14,1.4501031637191772,0.43293336033821106,1.614349365234375,0.3992707431316376,0.0010000000474974513,159.16466941700492
keras,02_batch_order_alignment,2026,15,1.4232364892959595,0.4430787265300751,2.100337266921997,0.3053783178329468,0.0005000000237487257,160.72939483298978
keras,02_batch_order_alignment,2026,16,1.3554675579071045,0.46268656849861145,1.4394989013671875,0.43436646461486816,0.0005000000237487257,162.1662371249986
keras,02_batch_order_alignment,2026,17,1.3462424278259277,0.47107598185539246,1.6477376222610474,0.38058340549468994,0.0005000000237487257,162.6840689160017
keras,02_batch_order_alignment,2026,18,1.3345756530761719,0.47224661707878113,1.3781707286834717,0.4680947959423065,0.0005000000237487257,161.52038608399744
keras,02_batch_order_alignment,2026,19,1.3261640071868896,0.48190420866012573,1.5585812330245972,0.4111212491989136,0.0005000000237487257,162.19011854199925
keras,02_batch_order_alignment,2026,20,1.3227508068084717,0.4767339825630188,1.5687448978424072,0.40474021434783936,0.0005000000237487257,160.7580840830051
keras,02_batch_order_alignment,2026,21,1.3199219703674316,0.479758083820343,1.4810327291488647,0.4462169408798218,0.0005000000237487257,161.10465175000718
keras,02_batch_order_alignment,2026,22,1.3232585191726685,0.4792703092098236,1.761993408203125,0.3824065625667572,0.0002500000118743628,160.93090737499006
keras,02_batch_order_alignment,2026,23,1.272178292274475,0.5011218190193176,1.4693248271942139,0.447584331035614,0.0002500000118743628,162.31158783299907
keras,02_batch_order_alignment,2026,24,1.2604904174804688,0.5069749355316162,1.4762283563613892,0.4361896216869354,0.0002500000118743628,159.3536127499974
keras,02_batch_order_alignment,2026,25,1.249322533607483,0.51282799243927,1.4600402116775513,0.44849589467048645,0.0002500000118743628,160.5109379170026
