seed,step,parameter,weight_relative_l2,weight_max_abs_diff,gradient_relative_l2,update_relative_l2,m_relative_l2,v_relative_l2
123,0,conv1/kernel,0.0,0.0,,,,
123,0,bn1/gamma,0.0,0.0,,,,
123,0,bn1/beta,0.0,0.0,,,,
123,0,conv2/kernel,0.0,0.0,,,,
123,0,bn2/gamma,0.0,0.0,,,,
123,0,bn2/beta,0.0,0.0,,,,
123,0,conv3/kernel,0.0,0.0,,,,
123,0,bn3/gamma,0.0,0.0,,,,
123,0,bn3/beta,0.0,0.0,,,,
123,0,conv4/kernel,0.0,0.0,,,,
123,0,bn4/gamma,0.0,0.0,,,,
123,0,bn4/beta,0.0,0.0,,,,
123,0,fc128/kernel,0.0,0.0,,,,
123,0,fc128/bias,0.0,0.0,,,,
123,0,logits/kernel,0.0,0.0,,,,
123,0,logits/bias,0.0,0.0,,,,
123,1,conv1/kernel,4.627321606527557e-08,1.043081283569336e-07,9.125779381003707e-05,3.5922686004776206e-06,9.125846599741741e-05,0.00015728377638480405
123,1,bn1/gamma,0.0,0.0,1.1101453619112926e-05,6.174232771851202e-08,1.110744529016581e-05,1.4099702927410865e-05
123,1,bn1/beta,7.420279664341104e-08,2.3283064365386963e-10,3.4521189754877884e-05,7.420279664341104e-08,3.4523920026203e-05,8.286154948342253e-05
123,1,conv2/kernel,2.774572116054791e-06,1.7568469047546387e-05,1.1491736440855586e-05,0.0001330454640690371,1.1491321216948416e-05,1.2066837481975595e-05
123,1,bn2/gamma,0.0,0.0,9.322777830019849e-06,6.00010489123209e-08,9.320942111569837e-06,9.183081281668333e-06
123,1,bn2/beta,8.360054439147259e-08,2.3283064365386963e-10,1.1051817583331292e-05,8.360054439147259e-08,1.1061486563985859e-05,9.547018598265443e-06
123,1,conv3/kernel,4.169961123192885e-05,0.0003766727168112993,9.099293845811457e-06,0.0014178081392842291,9.09931726352182e-06,8.418724574192973e-06
123,1,bn3/gamma,0.0,0.0,8.947257331935807e-06,1.1175694738702838e-06,8.948058687047438e-06,7.237785469759843e-06
123,1,bn3/beta,1.5056367462564542e-06,1.6996636986732483e-08,1.1987014926679493e-05,1.5056367462564542e-06,1.1990649194519215e-05,1.1601633787788505e-05
123,1,conv4/kernel,1.0006577416142886e-05,9.518768638372421e-05,8.106309295320877e-06,0.00024107040268628608,8.106410645204127e-06,7.640533471655886e-06
123,1,bn4/gamma,0.0,0.0,1.977803165737903e-07,6.259318858663301e-08,1.9810595476853087e-07,3.1856824953492944e-07
123,1,bn4/beta,6.044212704349599e-08,3.4924596548080444e-10,1.5404684490718154e-07,6.044212704349599e-08,1.5707931218629224e-07,2.3506432210544848e-07
123,1,fc128/kernel,7.922758149884179e-09,8.195638656616211e-08,1.8434114319397072e-07,5.589244851068593e-07,1.8725040194560382e-07,3.0880237643348076e-07
123,1,fc128/bias,4.977486284937915e-08,1.1641532182693481e-10,1.2017592782693818e-07,4.977486284937915e-08,1.2867910260085265e-07,1.6870657769241116e-07
123,1,logits/kernel,6.677306374203512e-11,2.3283064365386963e-10,1.7261432184232123e-07,8.964022384429048e-08,1.760239207190454e-07,2.5420788337572735e-07
123,1,logits/bias,0.0,0.0,1.6505822690286049e-07,0.0,1.7459605863840604e-07,3.031108543573333e-07
123,2,conv1/kernel,2.6283928799765813e-05,2.2511929273605347e-05,0.0014135636283500572,0.0030124128516918034,0.0008737875842469875,0.0008785167947979158
123,2,bn1/gamma,5.310638508684062e-07,1.430511474609375e-06,0.0014743919360358565,0.0007052308918421687,0.0010838440706968239,0.0012454329312081443
123,2,bn1/beta,0.002456124433091869,2.0221807062625885e-05,0.003015134008515856,0.005285261041640763,0.0022124975333899905,0.002133973380396199
123,2,conv2/kernel,4.8393371681511295e-05,0.00010489765554666519,0.0017631158260339413,0.0032339149355257923,0.0014402986387387644,0.0013733346021097708
123,2,bn2/gamma,2.645554365547871e-06,1.9252300262451172e-05,0.0013928263625534443,0.0035933976442367463,0.0011626712396614807,0.0015172516989372764
123,2,bn2/beta,0.001091535761613008,7.60622788220644e-06,0.002012722756654344,0.00238925625670366,0.0015835784591489584,0.0013019115145219314
123,2,conv3/kernel,8.758509134480487e-05,0.00037668459117412567,0.001762669858896594,0.0037468462466104884,0.0014370893030007117,0.001208772462050927
123,2,bn3/gamma,2.506898411624906e-06,2.6702880859375e-05,0.0011708552771946856,0.0036451058191897447,0.0010761717228742658,0.0010051235004425716
123,2,bn3/beta,0.003267311768961591,5.0703296437859535e-05,0.0024149903825306284,0.0069360868216178624,0.0020566671147020394,0.0017092872698290492
123,2,conv4/kernel,8.620046158631447e-05,0.0002987068146467209,0.0012798189152053794,0.0030314572526147486,0.0011608870500634887,0.000769518467893042
123,2,bn4/gamma,9.858976386539629e-09,1.1920928955078125e-07,5.730375567879255e-06,8.923810110190738e-06,5.066583781876177e-06,5.6489987207143495e-06
123,2,bn4/beta,0.00010644284180974987,2.198386937379837e-06,0.0002709569554357443,0.00023125828808420306,0.00023758406093531226,0.00015367779934272462
123,2,fc128/kernel,1.347012088352822e-07,1.2975651770830154e-06,6.026492900738907e-06,1.6065959151992042e-05,5.292740854251427e-06,5.487119410100486e-06
123,2,fc128/bias,1.6363588235114537e-06,1.6298145055770874e-08,1.5280152388801532e-06,3.4116105695964927e-06,1.3036498861034918e-06,1.1348526062577085e-06
123,2,logits/kernel,8.904695470519541e-08,2.0256265997886658e-07,5.339234530312883e-06,1.5947176565086548e-05,5.6038627757333035e-06,2.849107201867405e-06
123,2,logits/bias,4.262848088487392e-07,1.3969838619232178e-09,1.1579409687524868e-06,9.639659574259395e-07,1.1885195860051417e-06,4.407762124244961e-07
123,5,conv1/kernel,0.0002553422460021635,0.00011708959937095642,0.027950358769098505,0.023878306578763334,0.019015327246672157,0.013085457211086485
123,5,bn1/gamma,1.0396075805441968e-05,2.384185791015625e-05,0.022570581657885724,0.01042521330954061,0.010313942758696161,0.007937676216119072
123,5,bn1/beta,0.007420034133373308,5.426118150353432e-05,0.02910049860186087,0.029597114253543583,0.018636443284595076,0.010649246045948751
123,5,conv2/kernel,0.0003221694760767089,0.00019275397062301636,0.0286431412175242,0.016766090411553684,0.01422781995280443,0.0075416570882054085
123,5,bn2/gamma,1.0981649802765024e-05,3.337860107421875e-05,0.02267542838253565,0.01378702919426593,0.012763382948683268,0.00413485832590721
123,5,bn2/beta,0.007757641045484181,7.99042172729969e-05,0.025572264510490075,0.02412184215033034,0.01982197947343537,0.006177856057618512
123,5,conv3/kernel,0.0004507148683453567,0.0004402957856655121,0.024117962007631277,0.016992855060955922,0.013206642384790121,0.0068197861718665665
123,5,bn3/gamma,1.043453533847602e-05,4.5418739318847656e-05,0.01545994549688357,0.012323176358911605,0.009673373278923699,0.004626749456945921
123,5,bn3/beta,0.008543098625310889,9.811902418732643e-05,0.030645550731373268,0.019109466265059896,0.014646292327931633,0.00720335025292151
123,5,conv4/kernel,0.00039386603337709583,0.0003639776259660721,0.014365923020233378,0.010319999894268253,0.008317867232407966,0.0048774053420479755
123,5,bn4/gamma,3.4222934506465045e-07,2.3245811462402344e-06,0.0011443505679322806,0.0005529371382848835,0.00036352195738251707,0.00013346329232693223
123,5,bn4/beta,0.0006224382461379777,9.577721357345581e-06,0.004458149237739285,0.0018231659948896488,0.0015254015987553784,0.0006144295620830431
123,5,fc128/kernel,5.8233898825037385e-06,4.398822784423828e-05,0.0010409653423327726,0.0004889623023926781,0.0003547770217308487,0.0001773556669068841
123,5,fc128/bias,5.038744221772546e-05,5.866168066859245e-07,0.00033379547903056506,0.00016782146203413742,8.721869483037358e-05,3.893126221302314e-05
123,5,logits/kernel,1.833382237156038e-05,5.4858624935150146e-05,0.0010423734296468054,0.003000462257824802,0.00031604334459405464,8.377874650431829e-05
123,5,logits/bias,2.9850564847886218e-05,1.4761462807655334e-07,0.00027232648457353254,6.298858887126126e-05,4.907214192676683e-05,1.829576877906044e-05
123,10,conv1/kernel,0.0009053298121111728,0.0004914328455924988,0.09141436274165997,0.05605863439637697,0.04063303028020179,0.018998519351620245
123,10,bn1/gamma,5.0655609252513554e-05,0.00011497735977172852,0.09701592853414467,0.036831457257080945,0.03933266799191638,0.015443768889722018
123,10,bn1/beta,0.014781542999947063,0.00014526334416586906,0.1066956408055903,0.059252135723018406,0.05218384883431707,0.015844893595592973
123,10,conv2/kernel,0.0013020108658581807,0.0005389079451560974,0.10556509432765936,0.06054006880829773,0.05546322142132646,0.018822125761539382
123,10,bn2/gamma,5.193054212591004e-05,0.00022482872009277344,0.07937057505445376,0.05500438779622352,0.05225433366956443,0.010275818142241482
123,10,bn2/beta,0.020312854588571752,0.00036641955375671387,0.10148925880932066,0.06547794055305554,0.05205374073675539,0.0131316646672061
123,10,conv3/kernel,0.001834325511237324,0.0006157420575618744,0.09108687571641508,0.05929821014536173,0.05311335520378482,0.015263210317788819
123,10,bn3/gamma,5.076529180974379e-05,0.00018996000289916992,0.06769569396537876,0.05058508820474414,0.05125286278896739,0.015292187007193609
123,10,bn3/beta,0.018981743641446874,0.00020960834808647633,0.08308182881435235,0.05751115367840035,0.05172007445378818,0.016752054335347162
123,10,conv4/kernel,0.0023676454582323802,0.0008374825119972229,0.07622652518504301,0.05925333578561002,0.05382742333609918,0.020512031570143825
123,10,bn4/gamma,4.8173853300896916e-05,0.0002879500389099121,0.06046523185034661,0.052908647455085556,0.04079558300365088,0.008338325875263574
123,10,bn4/beta,0.009369201054156055,0.00013620196841657162,0.0655752033582247,0.043025555977059954,0.0374627817772169,0.006731253498801847
123,10,fc128/kernel,0.0004396764399808647,0.0007191300392150879,0.05392636022391591,0.0450016038680048,0.042697840042691275,0.0132760330597436
123,10,fc128/bias,0.008167319016503069,0.0001600491814315319,0.058727889350764506,0.04099864515931746,0.03810658459306542,0.01095257422683191
123,10,logits/kernel,8.07304437738457e-05,0.00014193356037139893,0.01221970670135521,0.0140573695751763,0.009665346035418949,0.000973010392338153
123,10,logits/bias,0.0007251119064003556,6.250571459531784e-06,0.0071915185002017394,0.00677614772989073,0.006129899877543439,0.0005213576914316156
123,20,conv1/kernel,0.002668238074091557,0.0011114925146102905,0.13863385058374283,0.11053858181627296,0.10620317330833105,0.020948759589909417
123,20,bn1/gamma,0.0002744531273774594,0.000691533088684082,0.15384842272014676,0.1331433507421601,0.1271248891583389,0.019445628426282953
123,20,bn1/beta,0.04541725714705744,0.0005532132927328348,0.1917533821642525,0.11526209841244851,0.12362163204141237,0.022768905948538608
123,20,conv2/kernel,0.004627261274546022,0.0020532868802547455,0.15981670370285547,0.1351999150665532,0.13678648946111355,0.028229575345773212
123,20,bn2/gamma,0.00018670934772769556,0.00046944618225097656,0.22632384251468024,0.13508249300264513,0.1211674850188264,0.01603132363583214
123,20,bn2/beta,0.04578708685074132,0.0011494681239128113,0.2097914129258341,0.1477235290764849,0.1553030520409202,0.018792384735439097
123,20,conv3/kernel,0.0057797530552105075,0.0012622997164726257,0.22451715948094547,0.15225736611649499,0.15213532013460937,0.025431482627305532
123,20,bn3/gamma,0.00016916223273529655,0.0004667043685913086,0.1759135668266997,0.160627618097767,0.1602847561305327,0.023807695296972697
123,20,bn3/beta,0.04535530090106421,0.000983604695647955,0.20360564794231795,0.19764934803000542,0.1823093263300735,0.02535441308447154
123,20,conv4/kernel,0.007823731654515787,0.0019891392439603806,0.2185221696598883,0.15953968269738097,0.1607180997607977,0.03016406947956012
123,20,bn4/gamma,0.0001620725402988645,0.0006390810012817383,0.1675277695730574,0.182245826345337,0.17093290541956205,0.023301252749026426
123,20,bn4/beta,0.03265083151567379,0.0006890743970870972,0.15628879706613372,0.1792724185365493,0.16108416743505685,0.02285298445404811
123,20,fc128/kernel,0.002615198251887134,0.0025268569588661194,0.15221770805380044,0.18897822140541698,0.18655522853739032,0.023139854869174033
123,20,fc128/bias,0.041382377603789204,0.000936064519919455,0.14646772569885474,0.1918798422832021,0.1809837684950652,0.021809167536653313
123,20,logits/kernel,0.0006001506313239026,0.0005613416433334351,0.03808631624698116,0.12831425863093043,0.05628250064793046,0.004449604986175504
123,20,logits/bias,0.011617043685822847,8.050817996263504e-05,0.014778013848405165,0.04386745130663918,0.05097745535755076,0.0024205664370606584
123,50,conv1/kernel,0.010589074269847879,0.0034307241439819336,0.4835056516233401,0.3678685831228127,0.4354238046627109,0.08316541791740062
123,50,bn1/gamma,0.0009116791117653075,0.00225830078125,0.5579813263252605,0.39878551361968867,0.43812643752134867,0.06811714266590767
123,50,bn1/beta,0.1171127872590321,0.0025565261021256447,0.40962233679746146,0.3692142627960781,0.3902573077242486,0.06848843432023059
123,50,conv2/kernel,0.01499841165427474,0.0039115361869335175,0.42601758983636145,0.42281384528600346,0.45453954310012573,0.06499938135229578
123,50,bn2/gamma,0.0007610555446693207,0.002573370933532715,0.4526981942081845,0.3919177098630952,0.3938607088132523,0.04420352454664891
123,50,bn2/beta,0.12510808408275811,0.002161261159926653,0.41027554305035735,0.5739417300481662,0.6186264760998031,0.042102540440546586
123,50,conv3/kernel,0.02347991809562504,0.007282402366399765,0.45624665471076264,0.5735450557816565,0.5368291155435235,0.04435300961008408
123,50,bn3/gamma,0.0008501584158776254,0.0027051568031311035,0.472385633767119,0.4672739420751023,0.44623005826190293,0.04832063188543322
123,50,bn3/beta,0.15418106475096258,0.00400615215767175,0.4424565572158858,0.5170834827107275,0.4992709821971783,0.04604451969242289
123,50,conv4/kernel,0.036766220345440366,0.008682531770318747,0.5167591752448597,0.5315058836524996,0.49354253453583496,0.06711273224916028
