seed,step,parameter,weight_relative_l2,weight_max_abs_diff,gradient_relative_l2,update_relative_l2,m_relative_l2,v_relative_l2
42,0,conv1/kernel,0.0,0.0,,,,
42,0,bn1/gamma,0.0,0.0,,,,
42,0,bn1/beta,0.0,0.0,,,,
42,0,conv2/kernel,0.0,0.0,,,,
42,0,bn2/gamma,0.0,0.0,,,,
42,0,bn2/beta,0.0,0.0,,,,
42,0,conv3/kernel,0.0,0.0,,,,
42,0,bn3/gamma,0.0,0.0,,,,
42,0,bn3/beta,0.0,0.0,,,,
42,0,conv4/kernel,0.0,0.0,,,,
42,0,bn4/gamma,0.0,0.0,,,,
42,0,bn4/beta,0.0,0.0,,,,
42,0,fc128/kernel,0.0,0.0,,,,
42,0,fc128/bias,0.0,0.0,,,,
42,0,logits/kernel,0.0,0.0,,,,
42,0,logits/bias,0.0,0.0,,,,
42,1,conv1/kernel,0.0008531519507635306,0.001997217535972595,0.0016624683407441537,0.06794855106394462,0.001662466981752471,0.0019079906202294395
42,1,bn1/gamma,0.0,0.0,0.0023541116586697913,5.584748948709161e-06,0.002354122223001076,0.002729435076278259
42,1,bn1/beta,2.572117677398386e-06,1.1990778148174286e-08,0.0022497123966855248,2.572117677398386e-06,0.0022497198409175416,0.003353489355419793
42,1,conv2/kernel,0.0008882577519606404,0.001991787925362587,0.001970839278645918,0.042736313714806434,0.0019708400149017085,0.001954805538756326
42,1,bn2/gamma,4.469927189020959e-08,3.5762786865234375e-07,0.002369756785617186,4.0261023404537334e-05,0.0023697622117592296,0.0034644242677858467
42,1,bn2/beta,2.1525465474049548e-05,1.6612466424703598e-07,0.0018319858610621198,2.1525465474049548e-05,0.0018319795769657769,0.0019867638335139388
42,1,conv3/kernel,0.0013420774983289325,0.0019872337579727173,0.001963600282847025,0.04572001271832836,0.0019636001174895695,0.001864484694555213
42,1,bn3/gamma,1.4755757857668027e-06,1.633167266845703e-05,0.001754560201928798,0.0014752698621956376,0.0017545608677268718,0.0018944591012443857
42,1,bn3/beta,1.645794928329038e-05,1.8440186977386475e-07,0.0013046641444150312,1.645794928329038e-05,0.001304660900058817,0.0013174962208555808
42,1,conv4/kernel,0.00045852296853259386,0.001998716965317726,0.0015643481549420084,0.011032612198981644,0.0015643481146081274,0.0008060288558954147
42,1,bn4/gamma,0.0,0.0,1.8613371680604557e-07,5.396092209615085e-08,1.9115051034975662e-07,3.052556674225221e-07
42,1,bn4/beta,5.44495076631328e-08,2.3283064365386963e-10,1.760786680460297e-07,5.44495076631328e-08,1.7834299777243064e-07,2.823918468362626e-07
42,1,fc128/kernel,5.706667954704021e-09,2.2351741790771484e-08,1.9917896208919104e-07,1.563560721248296e-07,2.0250468751866983e-07,3.2175519748270103e-07
42,1,fc128/bias,4.777669606084971e-08,1.1641532182693481e-10,1.9266352812443334e-07,4.777669606084971e-08,1.9472547253097182e-07,3.028395094669377e-07
42,1,logits/kernel,2.968701143351072e-09,7.450580596923828e-09,1.871761349630482e-07,9.378085178761393e-08,1.8811480411305875e-07,3.404081528514807e-07
42,1,logits/bias,4.115912622386862e-08,1.1641532182693481e-10,1.362621678034714e-07,4.115912622386862e-08,1.6083107439022585e-07,2.489791796197298e-07
42,2,conv1/kernel,0.001055801377326684,0.001998618245124817,0.027036777785564473,0.06820257859990975,0.015718010128005395,0.014934750226173328
42,2,bn1/gamma,2.0867334288713598e-05,7.927417755126953e-05,0.026976923323609688,0.028639652952101708,0.02409098368314586,0.014860247600736471
42,2,bn1/beta,0.040819424951120196,0.0003512002294883132,0.029945503378971353,0.0908186131577021,0.02549300566499301,0.025852302513126525
42,2,conv2/kernel,0.0012343278892828983,0.002000398002564907,0.035384102767653844,0.05889006797825256,0.029835416289823443,0.031023049944444516
