seed,layer,keras_hash,pytorch_hash,canonical_hash,max_abs_diff,mean_abs_diff,mse,match
123,conv1/kernel,74226767aa2e6d41855b112f2bed4b46b3044e26d448a7b4cc046270b8aa6043,74226767aa2e6d41855b112f2bed4b46b3044e26d448a7b4cc046270b8aa6043,74226767aa2e6d41855b112f2bed4b46b3044e26d448a7b4cc046270b8aa6043,0.0,0.0,0.0,True
123,bn1/gamma,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,0.0,0.0,0.0,True
123,bn1/beta,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,0.0,0.0,0.0,True
123,bn1/mean,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,0.0,0.0,0.0,True
123,bn1/variance,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,0.0,0.0,0.0,True
123,conv2/kernel,8a6f9afbe485652bdca26e0bc749ffe0648868dbff2a68f5b8cacc537b37565e,8a6f9afbe485652bdca26e0bc749ffe0648868dbff2a68f5b8cacc537b37565e,8a6f9afbe485652bdca26e0bc749ffe0648868dbff2a68f5b8cacc537b37565e,0.0,0.0,0.0,True
123,bn2/gamma,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,0.0,0.0,0.0,True
123,bn2/beta,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,0.0,0.0,0.0,True
123,bn2/mean,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,0.0,0.0,0.0,True
123,bn2/variance,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,0.0,0.0,0.0,True
123,conv3/kernel,80d9c0f16b26554bbb0d230fd0d049a41dbb8240e822e08071dc7b575646ef66,80d9c0f16b26554bbb0d230fd0d049a41dbb8240e822e08071dc7b575646ef66,80d9c0f16b26554bbb0d230fd0d049a41dbb8240e822e08071dc7b575646ef66,0.0,0.0,0.0,True
123,bn3/gamma,02722f124d0f1736a9dd7c4ddcd05630dcf16ee1ce3454e9a876005ce005d4ac,02722f124d0f1736a9dd7c4ddcd05630dcf16ee1ce3454e9a876005ce005d4ac,02722f124d0f1736a9dd7c4ddcd05630dcf16ee1ce3454e9a876005ce005d4ac,0.0,0.0,0.0,True
