framework,experiment,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,elapsed_epoch_sec
pytorch,01_input_tensor_alignment,2026,1,2.0302539449495844,0.18086040386303776,2.60851637656404,0.13536918869644485,0.001,144.83959487500397
pytorch,01_input_tensor_alignment,2026,2,1.774663612012479,0.2661203784996586,1.8727773736581654,0.20920692798541476,0.001,145.3968307499963
pytorch,01_input_tensor_alignment,2026,3,1.6311432463566207,0.33050434103989856,1.962011229915845,0.22242479489516864,0.001,145.85631095799909
pytorch,01_input_tensor_alignment,2026,4,1.5582376069853263,0.3688420641888596,1.691420552180698,0.3081130355515041,0.001,145.39673316700646
pytorch,01_input_tensor_alignment,2026,5,1.5056713079199096,0.3882548044093259,1.75133430762191,0.34184138559708294,0.001,145.4279814170004
pytorch,01_input_tensor_alignment,2026,6,1.4630286335631146,0.4135206321334504,1.6693963591576493,0.3286235186873291,0.001,145.68028416600282
pytorch,01_input_tensor_alignment,2026,7,1.4236082703226915,0.4331284752707053,1.5061809881883201,0.3974475843208751,0.001,146.42354979200172
pytorch,01_input_tensor_alignment,2026,8,1.3944374346614477,0.4453224075699932,1.746286015132393,0.32087511394712853,0.001,144.79781229100627
pytorch,01_input_tensor_alignment,2026,9,1.3691797439045654,0.45498000195102917,1.5744187266802723,0.3851412944393801,0.001,145.32573270799912
pytorch,01_input_tensor_alignment,2026,10,1.3479423486782904,0.4665886254999512,1.476388576689262,0.41248860528714676,0.001,145.2738830829985
pytorch,01_input_tensor_alignment,2026,11,1.3229776195707164,0.47975807238318213,1.734208583831787,0.34092980856882404,0.001,145.1277944579997
pytorch,01_input_tensor_alignment,2026,12,1.3088894961531738,0.48044093259194226,2.0129933925031422,0.31996353691886964,0.001,145.39359229200636
pytorch,01_input_tensor_alignment,2026,13,1.2908806142638618,0.4889279094722466,1.4253964043793725,0.4389243391066545,0.001,145.48754008399555
pytorch,01_input_tensor_alignment,2026,14,1.2653339178128866,0.5096088186518388,1.6959662824298647,0.36873290793072017,0.001,145.92061845799617
pytorch,01_input_tensor_alignment,2026,15,1.2550006120940578,0.5065847234416154,1.5354018738406727,0.4056517775752051,0.001,145.49868666700058
pytorch,01_input_tensor_alignment,2026,16,1.2289150841130756,0.52414398595259,1.4619886636081998,0.4266180492251595,0.001,145.63327479200234
pytorch,01_input_tensor_alignment,2026,17,1.2176171150594535,0.5243390888693786,1.5625903229335274,0.4211485870556062,0.001,145.4281756670025
pytorch,01_input_tensor_alignment,2026,18,1.206489852714185,0.5310701394985855,1.8549510989280429,0.33363719234275296,0.0005,146.65071700000408
pytorch,01_input_tensor_alignment,2026,19,1.1374134809235203,0.5600429226416935,1.3059373901666242,0.5086599817684594,0.0005,144.92109158299718
pytorch,01_input_tensor_alignment,2026,20,1.1132999377975858,0.5712613403570383,1.6033458407618506,0.43710118505013673,0.0005,147.50490508400253
pytorch,01_input_tensor_alignment,2026,21,1.0996144246664319,0.5770168764023023,1.4312928870469739,0.47082953509571557,0.0005,144.40317999999388
pytorch,01_input_tensor_alignment,2026,22,1.0817289178097682,0.5779923909862452,1.4592421498207364,0.4598906107566089,0.0005,144.44467825000174
pytorch,01_input_tensor_alignment,2026,23,1.0735695684448054,0.5858940591161838,1.4188649754363403,0.4817684594348222,0.0005,145.95300045800104
pytorch,01_input_tensor_alignment,2026,24,1.0552112011371757,0.5932104184957565,1.5047623095668872,0.44940747493163175,0.00025,144.87420191599813
pytorch,01_input_tensor_alignment,2026,25,0.9990554278146441,0.6177933860111209,1.4323724088825305,0.47082953509571557,0.00025,145.22417754100024
pytorch,01_input_tensor_alignment,2026,26,0.9844981769203222,0.6270607745585797,1.287839365092428,0.5278030993618961,0.00025,147.8553245830044
pytorch,01_input_tensor_alignment,2026,27,0.9717287497920021,0.6269632231001854,1.3917055523384672,0.49225159525979945,0.00025,146.25790379100363
pytorch,01_input_tensor_alignment,2026,28,0.9626692546575712,0.6284264949760999,1.3274324640101918,0.5177757520510483,0.00025,143.96013879100065
pytorch,01_input_tensor_alignment,2026,29,0.9490038572945324,0.6404253243585991,1.3475684711035534,0.5145852324521422,0.00025,144.61324950000562
pytorch,01_input_tensor_alignment,2026,30,0.9351150744043435,0.642278802068091,1.308241041334738,0.5118505013673655,0.00025,145.60741383400455
