experiment,framework,seed,test_accuracy,macro_f1,test_loss,best_epoch,epochs_trained,train_accuracy,validation_accuracy,train_loss,validation_loss,train_val_gap,training_time_seconds,python_version,framework_version,device,architecture
02_batch_order_alignment,pytorch,42,0.5002269632319565,0.49048141762990927,1.28093541712854,24,30,0.5941859330796996,0.5109389243391067,1.060067736478029,1.301071507450441,0.08324700874059288,4260.722971791998,3.10.3,2.14.0,mps,arm64
02_batch_order_alignment,pytorch,123,0.5165683159328189,0.5177022051168148,1.2718121256549089,29,30,0.6263779143498195,0.5136736554238833,0.9754394860735591,1.2878913896781483,0.11270425892593616,4243.810850124995,3.10.3,2.14.0,mps,arm64
02_batch_order_alignment,pytorch,2026,0.45619609623241036,0.4332111338738718,1.389259047579668,14,21,0.49682957760218516,0.4612579762989973,1.282450398786186,1.401958018296832,0.03557160130318787,2974.7954871669936,3.10.3,2.14.0,mps,arm64
