experiment,framework,seed,test_accuracy,macro_f1,test_loss,best_epoch,epochs_trained,train_accuracy,validation_accuracy,train_loss,validation_loss,train_val_gap,training_time_seconds,python_version,framework_version,device,architecture
03_augmentation_alignment,pytorch,42,0.45891965501588744,0.4544347979868506,1.365023993439313,12,19,0.48170910155106816,0.47584320875113945,1.3084699927673213,1.364957361408223,0.005865892799928718,2726.307404082967,3.10.3,2.14.0,mps,arm64
03_augmentation_alignment,pytorch,123,0.46799818429414436,0.46247655997939896,1.3362127261653143,17,24,0.5358501609599063,0.49407474931631723,1.183794374024504,1.3228706845176579,0.04177541164358911,3537.626801250037,3.10.3,2.14.0,mps,arm64
03_augmentation_alignment,pytorch,2026,0.45982750794371313,0.44684249709717383,1.378652912673223,16,23,0.5405326309628329,0.47447584320875114,1.188172137507019,1.3656695877951497,0.06605678775408175,3379.6321332500083,3.10.3,2.14.0,mps,arm64
