framework,experiment,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,elapsed_epoch_sec
keras,03_augmentation_alignment,123,1,2.0975089073181152,0.16261827945709229,2.261413097381592,0.1385597139596939,0.0010000000474974513,188.07718295899394
keras,03_augmentation_alignment,123,2,1.9914292097091675,0.21207687258720398,2.102898120880127,0.17000912129878998,0.0010000000474974513,184.95186387500144
keras,03_augmentation_alignment,123,3,1.8351235389709473,0.24924397468566895,1.9609472751617432,0.2233363687992096,0.0010000000474974513,184.7975762499991
keras,03_augmentation_alignment,123,4,1.7613881826400757,0.27938738465309143,2.052983522415161,0.21649953722953796,0.0010000000474974513,184.43402549999882
keras,03_augmentation_alignment,123,5,1.7452011108398438,0.29880011081695557,2.339789628982544,0.15451230108737946,0.0010000000474974513,185.31452450000506
keras,03_augmentation_alignment,123,6,1.698114275932312,0.31294506788253784,1.9749819040298462,0.2174111157655716,0.0010000000474974513,185.48446870900807
keras,03_augmentation_alignment,123,7,1.6807632446289062,0.3156765103340149,2.0195960998535156,0.2648131251335144,0.0005000000237487257,184.33272229100112
keras,03_augmentation_alignment,123,8,1.5933345556259155,0.3492342233657837,1.6603527069091797,0.32543298602104187,0.0005000000237487257,186.15940583401243
keras,03_augmentation_alignment,123,9,1.5749343633651733,0.3609403967857361,1.7771333456039429,0.31950774788856506,0.0005000000237487257,184.4524647500075
keras,03_augmentation_alignment,123,10,1.5573323965072632,0.3736220896244049,1.5953713655471802,0.352324515581131,0.0005000000237487257,184.7660585840058
keras,03_augmentation_alignment,123,11,1.553316593170166,0.368939608335495,1.6968705654144287,0.3436645269393921,0.0005000000237487257,184.66694725000707
keras,03_augmentation_alignment,123,12,1.5444254875183105,0.38337722420692444,1.6722180843353271,0.3614403009414673,0.0005000000237487257,187.35766983299982
keras,03_augmentation_alignment,123,13,1.523341417312622,0.3906936049461365,1.8589591979980469,0.3113035559654236,0.0005000000237487257,186.41664845899504
keras,03_augmentation_alignment,123,14,1.5277587175369263,0.3911813497543335,1.6594253778457642,0.35186871886253357,0.0002500000118743628,186.54752608400304
keras,03_augmentation_alignment,123,15,1.465308427810669,0.41791045665740967,1.5152865648269653,0.4111212491989136,0.0002500000118743628,188.4503784999979
keras,03_augmentation_alignment,123,16,1.4595835208892822,0.41283777356147766,1.600760817527771,0.3463992774486542,0.0002500000118743628,186.379124375002
keras,03_augmentation_alignment,123,17,1.450115442276001,0.4264949858188629,1.5604854822158813,0.40428441762924194,0.0002500000118743628,186.60469429098885
keras,03_augmentation_alignment,123,18,1.4509406089782715,0.42327576875686646,1.5255146026611328,0.3974475860595703,0.0002500000118743628,188.56225166699733
keras,03_augmentation_alignment,123,19,1.4414122104644775,0.42747050523757935,1.5736745595932007,0.3855970799922943,0.0001250000059371814,187.18597224999394
keras,03_augmentation_alignment,123,20,1.4057904481887817,0.44883427023887634,1.4871351718902588,0.4197812080383301,0.0001250000059371814,187.81947200000286
keras,03_augmentation_alignment,123,21,1.4000540971755981,0.44873669743537903,1.4848213195800781,0.4124886095523834,0.0001250000059371814,187.33941679200507
keras,03_augmentation_alignment,123,22,1.4029515981674194,0.44883427023887634,1.466552734375,0.4293527901172638,0.0001250000059371814,188.77476116699108
keras,03_augmentation_alignment,123,23,1.3918330669403076,0.4519559144973755,1.4750776290893555,0.41340017318725586,0.0001250000059371814,187.35251916700508
keras,03_augmentation_alignment,123,24,1.3948419094085693,0.4502975344657898,1.4670987129211426,0.4261622726917267,0.0001250000059371814,188.00485779100563
keras,03_augmentation_alignment,123,25,1.3883965015411377,0.4503950774669647,1.4791734218597412,0.4097538888454437,0.0001250000059371814,187.610566791991
keras,03_augmentation_alignment,123,26,1.3830389976501465,0.4541020393371582,1.4582529067993164,0.4320875108242035,0.0001250000059371814,190.00422904199513
keras,03_augmentation_alignment,123,27,1.3756612539291382,0.456150621175766,1.481149435043335,0.4170464873313904,0.0001250000059371814,187.92462354201416
keras,03_augmentation_alignment,123,28,1.3744785785675049,0.45897960662841797,1.4624278545379639,0.4270738363265991,0.0001250000059371814,186.96721862499544
keras,03_augmentation_alignment,123,29,1.3733539581298828,0.461223304271698,1.4740544557571411,0.40656334161758423,0.0001250000059371814,189.44791395800712
keras,03_augmentation_alignment,123,30,1.3695274591445923,0.4598575830459595,1.5252760648727417,0.40154966711997986,6.25000029685907e-05,190.77101520799624
