experiment,phase,framework,seed,epochs_trained,optimizer_steps,final_test_accuracy,final_macro_f1,final_test_loss,best_val_epoch,best_val_loss,best_test_accuracy,best_macro_f1,best_test_loss,training_time_seconds,python_version,framework_version,device,architecture,config_sha256
05_gradient_optimizer_divergence,strict_controlled_common_adam,keras,42,30,9630,0.45120290512936906,0.4231066793864901,1.6035332444360242,17,1.3610884321746548,0.4770767135724013,0.4468332239943497,1.3467683630318628,4719.102913291019,3.10.3,2.18.1,tensorflow-metal GPU:0,arm64,450cbd41350873c08d0bc6ca5f147d475fbd8764670706fdbf6926a78d4fca7d
05_gradient_optimizer_divergence,strict_controlled_common_adam,keras,123,30,9630,0.49341806627326373,0.45389612958678427,1.4208063606343593,11,1.377276189998811,0.4493871992737177,0.4304546755667854,1.3771404962457423,4842.181762500026,3.10.3,2.18.1,tensorflow-metal GPU:0,arm64,450cbd41350873c08d0bc6ca5f147d475fbd8764670706fdbf6926a78d4fca7d
05_gradient_optimizer_divergence,strict_controlled_common_adam,keras,2026,30,9630,0.39945528824330456,0.3811481446052315,1.8741684742424092,27,1.3400368201482697,0.5070358601906492,0.49755178414535317,1.2993162102554259,4717.89970745804,3.10.3,2.18.1,tensorflow-metal GPU:0,arm64,450cbd41350873c08d0bc6ca5f147d475fbd8764670706fdbf6926a78d4fca7d
