experiment,phase,framework,seed,epochs_trained,optimizer_steps,final_test_accuracy,final_macro_f1,final_test_loss,best_val_epoch,best_val_loss,best_test_accuracy,best_macro_f1,best_test_loss,training_time_seconds,python_version,framework_version,device,architecture,config_sha256
05_gradient_optimizer_divergence,strict_controlled_common_adam,pytorch,42,30,9630,0.4144348615524285,0.36060762622358367,1.8503669629679234,22,1.3746343065416584,0.4929641398093509,0.4532681402027731,1.3645705777409398,4302.994649583008,3.10.3,2.14.0,mps,arm64,450cbd41350873c08d0bc6ca5f147d475fbd8764670706fdbf6926a78d4fca7d
05_gradient_optimizer_divergence,strict_controlled_common_adam,pytorch,123,30,9630,0.47798456650022697,0.4556664166138078,1.4076263129954656,20,1.387917443335654,0.4711756695415343,0.43680910615228036,1.3983958823487155,4452.70597554103,3.10.3,2.14.0,mps,arm64,450cbd41350873c08d0bc6ca5f147d475fbd8764670706fdbf6926a78d4fca7d
05_gradient_optimizer_divergence,strict_controlled_common_adam,pytorch,2026,30,9630,0.3781207444394008,0.36011294207251865,2.1276274863233144,19,1.3526304474502884,0.4861552428506582,0.45777212782824983,1.3425444486841418,4284.449964582978,3.10.3,2.14.0,mps,arm64,450cbd41350873c08d0bc6ca5f147d475fbd8764670706fdbf6926a78d4fca7d
