seed,step,layer,weight_mean_abs_diff,weight_max_abs_diff,weight_relative_l2,weight_cosine_similarity,gradient_relative_l2,update_relative_l2,m_relative_l2,v_relative_l2
42,0,conv1/kernel,0.0,0.0,0.0,1.0,,,,
42,0,conv2/kernel,0.0,0.0,0.0,1.0,,,,
42,0,conv3/kernel,0.0,0.0,0.0,1.0000000000000002,,,,
42,0,conv4/kernel,0.0,0.0,0.0,1.0,,,,
42,0,bn1/gamma,0.0,0.0,0.0,0.9999999999999998,,,,
42,0,bn1/beta,0.0,0.0,0.0,1.0,,,,
42,0,bn2/gamma,0.0,0.0,0.0,1.0,,,,
42,0,bn2/beta,0.0,0.0,0.0,1.0,,,,
42,0,bn3/gamma,0.0,0.0,0.0,0.9999999999999998,,,,
42,0,bn3/beta,0.0,0.0,0.0,1.0,,,,
42,0,bn4/gamma,0.0,0.0,0.0,1.0,,,,
42,0,bn4/beta,0.0,0.0,0.0,1.0,,,,
42,0,fc128/kernel,0.0,0.0,0.0,1.0,,,,
42,0,fc128/bias,0.0,0.0,0.0,1.0,,,,
42,0,logits/kernel,0.0,0.0,0.0,1.0000000000000002,,,,
42,0,logits/bias,0.0,0.0,0.0,1.0,,,,
42,1,conv1/kernel,3.193385728755621e-06,0.0019793659448623657,0.0008463652422499792,0.9999996429274942,0.0016624683407441537,0.06740830817884555,0.0016624714361928236,0.0019079876705141237
42,1,conv2/kernel,3.0762287318945405e-06,0.001863064244389534,0.0008060414245933644,0.9999996751838327,0.001970839278645918,0.03878066788810672,0.001970839601972965,0.00195480450810715
42,1,conv3/kernel,4.018948679629375e-06,0.0019028298556804657,0.001211796879979098,0.9999992657747486,0.001963600282847025,0.04128186348955696,0.0019636001698338,0.001864484821922007
42,1,conv4/kernel,4.79151962590802e-06,0.0019819196313619614,0.0010788509921048856,0.9999994180616237,0.0015643481549420084,0.025958427345712153,0.0015643481205846914,0.0008060288352855726
42,1,bn1/gamma,1.0672956705093384e-06,1.3113021850585938e-05,2.4732539850140675e-06,0.9999999999970006,0.0023541116586697913,0.0024733294093518573,0.0023541084423961862,0.002729422539416765
42,1,bn1/beta,1.096199412131682e-06,7.518916390836239e-06,0.002069865887646391,0.9999984552084877,0.0022497123966855248,0.002069865887646391,0.002249704825591386,0.0033534904300366224
42,1,bn2/gamma,3.0659139156341553e-06,3.921985626220703e-05,7.1656912504545705e-06,0.9999999999744563,0.002369756785617186,0.007167199396575976,0.0023697523311705087,0.003464469189898578
42,1,bn2/beta,2.5933941287803464e-06,4.073453601449728e-05,0.006387845516967936,0.9999828696929887,0.0018319858610621198,0.006387845516967936,0.0018319799312064003,0.001986772256889444
42,1,bn3/gamma,6.997492164373398e-06,0.0004157423973083496,4.3292611520554983e-05,0.99999999906367,0.001754560201928798,0.04329954786340058,0.0017545603373435188,0.0018944649749123392
42,1,bn3/beta,3.372085757291643e-06,8.455809438601136e-05,0.008671107156885648,0.9999678700565879,0.0013046641444150312,0.008671107156885648,0.0013046668309817616,0.0013174860823653226
42,1,bn4/gamma,5.660112947225571e-07,9.179115295410156e-06,1.2390460924340197e-06,0.9999999999992325,1.8613371680604557e-07,0.0012389336633472014,1.9297151984843203e-07,3.0714929548948804e-07
42,1,bn4/beta,6.842615221103188e-07,5.570193752646446e-05,0.003578788131300586,0.9999938215731135,1.760786680460297e-07,0.003578788131300586,1.7653729521550045e-07,2.8812391002418857e-07
42,1,fc128/kernel,8.470420276296409e-07,0.00039821304380893707,0.0001016017076637285,0.9999999948386363,1.9917896208919104e-07,0.008516956387778827,2.0175423903047057e-07,3.2182552594016494e-07
42,1,fc128/bias,4.06611889047781e-07,2.7926464099437e-05,0.0028892159632641513,0.9999959717596926,1.9266352812443334e-07,0.0028892159632641513,1.9125250117441387e-07,3.0250581227989534e-07
42,1,logits/kernel,3.6792560536014207e-06,0.00040815770626068115,0.0001991196159342113,0.9999999801843495,1.871761349630482e-07,0.027947252167150025,1.969532362619336e-07,3.360665051303912e-07
42,1,logits/bias,7.779453881084919e-08,2.0035076886415482e-07,0.00010252199892180214,0.9999999977702712,1.362621678034714e-07,0.00010252199892180214,1.5280949372670865e-07,2.489376362319779e-07
42,2,conv1/kernel,2.762437250364908e-05,0.0019807815551757812,0.0011156043613772637,0.999999379270852,0.05364334697379424,0.07967573892007335,0.03178340844590028,0.04757994965465342
42,2,conv2/kernel,2.6972218081529793e-05,0.0018650665879249573,0.0015129105626432075,0.9999988556005187,0.05339029678993876,0.08849717943337944,0.04504962886752695,0.04818049332804924
42,2,conv3/kernel,2.7045990570881725e-05,0.0027263127267360687,0.00220693523383821,0.9999975647288661,0.05928431582012749,0.08907068362715864,0.04643241760568787,0.04037543310266369
42,2,conv4/kernel,2.5159020762610673e-05,0.0034112539142370224,0.0026959498377625408,0.9999963660223555,0.0554124734543804,0.0858167931618625,0.04253138095006553,0.04059349864841856
42,2,bn1/gamma,1.7430633306503296e-05,8.952617645263672e-05,2.544448882056235e-05,0.9999999996830915,0.045497690202450834,0.03440595279843479,0.040786396849514274,0.02629630749243038
42,2,bn1/beta,3.10369814542355e-05,0.00033051054924726486,0.0427962215621484,0.9991329204677594,0.04361264416679249,0.09519358926199066,0.037385383679829035,0.03194689972161822
42,2,bn2/gamma,1.7055310308933258e-05,0.00011330842971801758,2.8301955109848492e-05,0.9999999996031307,0.049065030510450476,0.03870738971622237,0.04027853766442456,0.048153420462696495
42,2,bn2/beta,2.5506446945655625e-05,0.00022857391741126776,0.03596909706966471,0.9994290267974919,0.05397849145569928,0.0729052094532521,0.04977064390736596,0.06390391033807859
42,2,bn3/gamma,3.021256998181343e-05,0.00041747093200683594,6.647168391248453e-05,0.9999999977907759,0.05818311975789184,0.07259956596986084,0.04430548456010771,0.03067500489301817
42,2,bn3/beta,2.313888671778841e-05,0.00018914055544883013,0.02471740389566175,0.9996997694211449,0.062190769795125736,0.051990849985248166,0.052303329695167086,0.05522820218600364
42,2,bn4/gamma,1.0146526619791985e-05,0.00019276142120361328,2.062107541799932e-05,0.9999999997874809,0.025311323894491106,0.030136260988802784,0.016248064109398663,0.01100295071890581
42,2,bn4/beta,1.0207009836449288e-05,0.0002538713160902262,0.014930541429413535,0.999891173093103,0.0243457036756089,0.03350975942439682,0.01563108831701527,0.01120480447938991
42,2,fc128/kernel,7.4231714939365645e-06,0.0007441267953254282,0.0009245540638887332,0.9999995726064861,0.028024689231204842,0.10702870268618013,0.018444002309881514,0.007323483576703233
42,2,fc128/bias,6.754200512659736e-06,0.0007441140478476882,0.04961875143307034,0.9987684008427891,0.02615738406088282,0.10755678570033303,0.01764676295747252,0.008256338892310098
42,2,logits/kernel,1.1979533610428916e-05,0.0007144510746002197,0.0005078731367853194,0.999999871064026,0.0008707580974553032,0.08463985110173113,0.0005298265304346921,0.0002948937066943692
42,2,logits/bias,2.0995503291487694e-07,4.650792106986046e-07,0.00016590216098843197,0.9999999882547844,0.0004394263024661519,0.0003135666512743222,0.00028330507656747277,0.0001494316970949124
42,5,conv1/kernel,0.00010603489173027574,0.0019015967845916748,0.002162881493693198,0.9999976637610133,0.1408962203613618,0.12807296043769995,0.10020366947216233,0.06353045974539218
42,5,conv2/kernel,0.00012596991949544013,0.002507176250219345,0.004031101754933129,0.9999918751493156,0.19262916473757136,0.1478331872880765,0.1262739826672438,0.07735369654368823
42,5,conv3/kernel,0.0001360221019515532,0.0032247640192508698,0.006098340917860975,0.9999814049561254,0.21474347503384586,0.1689295257240116,0.1507395804643294,0.07753253896413655
