parameter,shape,keras_mean,pytorch_mean,keras_std,pytorch_std,mean_abs_diff,max_abs_diff,mse,rmse,cosine_similarity
conv1/kernel,"[3, 3, 3, 32]",0.01140061602210254,0.011418300850150612,0.0517737548532438,0.05179214164837364,5.7714850333502033e-05,0.00037536025047302246,7.774029166240167e-09,8.817045517768504e-05,0.999998701745734
bn1/gamma,[32],-8.128434274112806e-06,-8.138500561472028e-06,0.009696263824200102,0.009704053839568762,1.927644552779384e-05,4.9258582293987274e-05,5.21868179131329e-10,2.2844434314102176e-05,0.9999975493229988
bn1/beta,[32],0.00046565506636397913,0.00046086291695246473,0.00907008725695518,0.009071225390025197,1.61590869538486e-05,4.984904080629349e-05,4.1754707852699057e-10,2.043396874146064e-05,0.9999974739735908
conv2/kernel,"[3, 3, 32, 64]",-9.660531586219712e-05,-9.668890871673675e-05,0.010040829751960944,0.010042449915976222,1.3268699578652646e-05,0.0001466497778892517,3.917617436227019e-10,1.9792972076540247e-05,0.9999980706093207
bn2/gamma,[64],1.0873063729377463e-06,1.0897165338974446e-06,0.006113449120800165,0.006115030843108884,1.085165968106594e-05,3.8800062611699104e-05,2.0999302444877981e-10,1.4491136064808025e-05,0.9999972248614378
bn2/beta,[64],-0.00019635268927231664,-0.00019810046069324017,0.004235917879572156,0.004237740304825226,5.86633996135788e-06,2.5132903829216957e-05,6.040333562441216e-11,7.771958287614014e-06,0.9999984216793001
conv3/kernel,"[3, 3, 64, 128]",0.0001985015908043428,0.0001985739547482663,0.006318024893118443,0.006318214304720674,8.547868870648992e-06,0.00011050468310713768,1.5407197449360176e-10,1.2412573242225068e-05,0.999998072537844
bn3/gamma,[128],1.9590385321066606e-05,1.959043220267631e-05,0.004870984614814561,0.004871083300464066,6.114447714367088e-06,3.2448675483465195e-05,7.304570515228105e-11,8.546678018521643e-06,0.9999984609332863
bn3/beta,[128],-0.000288177498987352,-0.0002881422365135222,0.0027484714661434938,0.002748258513185664,2.7571472855925094e-06,9.856652468442917e-06,1.2999549466789986e-11,3.6054887972076666e-06,0.9999991518991577
conv4/kernel,"[3, 3, 128, 256]",0.00020575218950006033,0.0002058022091395478,0.004316976558663541,0.004317038038517274,2.922299532190056e-07,0.0005682839546352625,4.5711392269813067e-11,6.761020061337865e-06,0.999998776498255
bn4/gamma,[256],0.0033884679952507213,0.0033884678598496976,0.02054746645554325,0.020547464928497027,2.943011168099474e-09,1.4901161193847656e-08,1.5025176652931662e-17,3.87623227541019e-09,0.9999999999999855
bn4/beta,[256],0.002963760243346769,0.0029637600980549905,0.019624108675550932,0.019624106811853198,2.663227860466577e-09,1.1175870895385742e-08,1.2212031342589871e-17,3.494571696587419e-09,0.999999999999989
fc128/kernel,"[256, 128]",0.005275823051680631,0.0052758223295721746,0.023148921477194676,0.02314891919262889,2.9129614553813354e-09,3.725290298461914e-08,2.2363525088039233e-17,4.729008890670352e-09,0.9999999999999823
fc128/bias,[128],0.006375656697684917,0.006375655562692373,0.02770083559537311,0.027700831975172903,3.485240540612722e-09,1.4901161193847656e-08,2.9991795949529776e-17,5.4764765999253365e-09,0.9999999999999903
logits/kernel,"[128, 8]",2.26443797046727e-09,-2.612577709726338e-09,0.10008075615276611,0.10008074764823356,9.86005277425761e-09,1.1920928955078125e-07,3.5091514031529417e-16,1.873272912085407e-08,0.999999999999986
logits/bias,[8],5.3551048040390015e-09,-7.2177499532699585e-09,0.13129192599495995,0.1312919174821618,1.4435499906539917e-08,2.9802322387695312e-08,3.200564813177209e-16,1.78901224511662e-08,0.9999999999999928
