parameter,shape,keras_mean,pytorch_mean,keras_std,pytorch_std,mean_abs_diff,max_abs_diff,mse,rmse,cosine_similarity
conv1/kernel,"[3, 3, 3, 32]",8.796116236664131e-05,8.724697525192621e-05,0.032577154156504855,0.03257825878128619,1.3115581909746484e-06,3.557279706001282e-05,1.760267514887482e-11,4.19555421236275e-06,0.9999999922799865
bn1/gamma,[32],-4.1021485230885446e-07,-4.107714630663395e-07,0.012495640812140113,0.012495641389126934,4.536559572443366e-09,1.30385160446167e-08,3.378406791991538e-17,5.812406379453813e-09,0.9999999999998931
bn1/beta,[32],0.001028199007123476,0.001028198515996337,0.011786983805429955,0.011786983239155361,3.5834091249853373e-09,1.1175870895385742e-08,2.1264338624345583e-17,4.611327208553475e-09,0.9999999999999255
conv2/kernel,"[3, 3, 32, 64]",-0.0010276657814094234,-0.0010276649898383677,0.00958694614671801,0.009586946806262686,1.960051597570277e-08,2.1606683731079102e-07,8.640204739570617e-16,2.9394225180417016e-08,0.9999999999953535
bn2/gamma,[64],1.5376730289062834e-06,1.5374389477074146e-06,0.006964982073035439,0.006964982565223667,2.4664359443704598e-09,9.313225746154785e-09,1.0098413651130087e-17,3.1778001276244683e-09,0.9999999999998984
bn2/beta,[64],0.00034061146652675234,0.00034061158112308476,0.005836606510275691,0.005836606777622799,2.7157511794939637e-09,7.450580596923828e-09,1.0616499202648587e-17,3.2582969788907496e-09,0.9999999999998458
conv3/kernel,"[3, 3, 64, 128]",1.916176812179667e-05,1.916174536899086e-05,0.006601089482458548,0.006601089752123741,1.0811412166756973e-08,1.3830140233039856e-07,2.283463651916326e-16,1.5111133815555755e-08,0.9999999999973689
bn3/gamma,[128],1.108035121433204e-06,1.1077188446506625e-06,0.005042606682985703,0.005042606691086958,2.0688730728579685e-09,6.51925802230835e-09,6.697038700505911e-18,2.587863732986324e-09,0.9999999999998684
bn3/beta,[128],4.004778020316735e-05,4.004765094123286e-05,0.0030541635356446965,0.0030541636437913773,1.7536194718559273e-09,5.122274160385132e-09,4.5851101118569605e-18,2.1412870222968615e-09,0.9999999999997549
conv4/kernel,"[3, 3, 128, 256]",-2.2720841962046757e-05,-2.2720915758419707e-05,0.004330668210179472,0.00433066831622959,3.884596919211885e-09,7.916241884231567e-08,3.05023067155258e-17,5.522889344856169e-09,0.9999999999991427
bn4/gamma,[256],0.00030286489745634526,0.0003028648263807554,0.008481562184566816,0.008481563351556105,2.683172795059363e-09,1.1175870895385742e-08,1.1013949418641298e-17,3.31872707805889e-09,0.9999999999999332
bn4/beta,[256],0.00011536642205101089,0.00011536631473063608,0.008296372730666803,0.008296373999570816,2.4128894438035786e-09,9.313225746154785e-09,9.142448461828066e-18,3.0236482040455806e-09,0.9999999999999455
fc128/kernel,"[256, 128]",1.4141605198561688e-05,1.414161001452789e-05,0.010444257415682116,0.010444258501015108,2.200230483050125e-09,2.2351741790771484e-08,1.308277060685731e-17,3.617011280996689e-09,0.9999999999999422
fc128/bias,[128],-4.436748872649332e-05,-4.436742847246933e-05,0.012675946670696082,0.01267594837032331,2.3430857254425064e-09,1.6763806343078613e-08,1.6461456672621787e-17,4.057272072787551e-09,0.9999999999999578
logits/kernel,"[128, 8]",1.5759411553517566e-09,-2.3067681098609683e-09,0.028564401395770232,0.028564403926453683,7.128866386096888e-09,7.82310962677002e-08,1.5657636479703214e-16,1.251304778209658e-08,0.9999999999999081
logits/bias,[8],5.587935447692871e-09,-7.2177499532699585e-09,0.048932184583583484,0.04893219068504075,1.3271346688270569e-08,3.725290298461914e-08,3.0921445959286586e-16,1.758449486317039e-08,0.9999999999999433
