layer,shape,keras_mean,pytorch_mean,keras_std,pytorch_std,mean_abs_diff,max_abs_diff,mse,rmse,cosine_similarity
input,"[32, 128, 128, 3]",0.455557635814093,0.455557635814093,0.25157186846316676,0.25157186846316676,0.0,0.0,0.0,0.0,0.9999999999999999
conv1,"[32, 128, 128, 32]",0.06658534254958134,0.06658534254958134,0.22028446799577592,0.22028446799577592,0.0,0.0,0.0,0.0,1.0
bn1,"[32, 128, 128, 32]",7.772929411231644e-09,6.804052686044558e-09,0.8980866687120238,0.8980866588506864,5.4435345288222076e-08,9.5367431640625e-07,6.199502620906369e-15,7.873692031636981e-08,0.9999999999997295
relu1,"[32, 128, 128, 32]",0.36195881776391836,0.36195881365197624,0.5211778995445778,0.5211778916855292,3.0267152011297525e-08,9.5367431640625e-07,3.766613881224556e-15,6.137274542681431e-08,0.999999999999794
pool1,"[32, 64, 64, 32]",0.41650953202745455,0.41650952742752223,0.5627340536783575,0.5627340455019758,3.344281051869888e-08,9.5367431640625e-07,4.290553422256485e-15,6.550231615948007e-08,0.9999999999999181
conv2,"[32, 64, 64, 64]",0.03219635026096853,0.03219634560464015,0.5168347426334892,0.516834743851052,5.985478967931307e-08,1.1920928955078125e-06,7.099202072221492e-15,8.425676276846561e-08,0.9999999999998296
bn2,"[32, 64, 64, 64]",1.366043583805876e-09,-1.2612626679826475e-09,0.9964300203530876,0.9964300204545046,1.535246719968245e-07,3.814697265625e-06,4.742348243367644e-14,2.1776933308819322e-07,0.9999999999997771
relu2,"[32, 64, 64, 64]",0.38992723623403147,0.38992723523568257,0.5849268523524054,0.5849268506307191,7.608975559660194e-08,3.814697265625e-06,2.3503753409425594e-14,1.5330933895045532e-07,0.9999999999998449
pool2,"[32, 32, 32, 64]",0.532988589199193,0.5329885876318743,0.6923156008166825,0.6923155991500641,9.49392319493929e-08,3.814697265625e-06,3.0735945067701136e-14,1.7531669934065362e-07,0.9999999999999127
conv3,"[32, 32, 32, 128]",0.005691295827132875,0.0056912941948765935,0.6500076623447089,0.6500076627925434,1.3622070982322043e-07,2.8014183044433594e-06,3.4260272976473636e-14,1.8509530781863067e-07,0.9999999999998306
bn3,"[32, 32, 32, 128]",7.439565630207312e-10,9.44701854721161e-10,0.997915093869038,0.9979150927466743,2.770948293875837e-07,5.260109901428223e-06,1.4222423438948823e-13,3.7712628440548696e-07,0.9999999999997938
relu3,"[32, 32, 32, 128]",0.3802095352383554,0.3802095351399222,0.6009267944906455,0.6009267945984724,1.3937372968599736e-07,4.76837158203125e-06,7.20259950853726e-14,2.683765919102719e-07,0.9999999999998338
pool3,"[32, 16, 16, 128]",0.6455479350813933,0.645547935989621,0.7669868416183955,0.7669868424622805,1.9915673483451857e-07,4.5299530029296875e-06,1.0688159283362072e-13,3.2692750394180775e-07,0.9999999999998898
conv4,"[32, 16, 16, 256]",0.005316076299691053,0.0053160762432612405,0.7321411294165657,0.7321411289885674,2.4874260207835563e-07,4.291534423828125e-06,1.1008921993079815e-13,3.317969558793422e-07,0.9999999999997999
bn4,"[32, 16, 16, 256]",5.092136712292472e-10,-2.7782342962648365e-09,0.9983948290381651,0.9983948289942551,4.4299119030799246e-07,7.152557373046875e-06,3.51283676396666e-13,5.926918899366398e-07,0.9999999999997103
relu4,"[32, 16, 16, 256]",0.38157232703836047,0.38157232521138384,0.5903190435505126,0.5903190417609752,2.2182108854582505e-07,7.152557373046875e-06,1.7551786761345813e-13,4.1894852620991295e-07,0.9999999999997502
pool4,"[32, 8, 8, 256]",0.7632745643452941,0.7632745619866259,0.7608447020987661,0.7608447004522394,3.5477415967488657e-07,7.152557373046875e-06,2.8761639295425157e-13,5.362987907447224e-07,0.9999999999998305
gap,"[32, 256]",0.763274564675612,0.7632745615460408,0.2724390491545556,0.2724390467436396,7.16563590685837e-08,4.76837158203125e-07,9.777975548382403e-15,9.88836465164104e-08,0.9999999999999938
fc128,"[32, 128]",-0.022697826657285702,-0.022697833354818897,0.8830010684885523,0.8830010581934478,1.762094257173885e-07,1.0728836059570312e-06,5.3835341189293624e-14,2.3202444093089336e-07,0.9999999999999667
dense128_relu,"[32, 128]",0.3408171866229779,0.3408171794338628,0.47806294015945267,0.47806293001223515,8.831551667753956e-08,1.0728836059570312e-06,2.5819258129047148e-14,1.6068372079662316e-07,0.9999999999999636
logits,"[32, 8]",0.22770509995461907,0.2277051170822233,0.37201601355965425,0.3720160364722275,1.8170976545661688e-07,7.152557373046875e-07,5.2461561570599224e-14,2.290448898591698e-07,0.9999999999998643
