seed,layer,shape,num_elements,keras_mean,pytorch_mean,keras_std,pytorch_std,keras_norm,pytorch_norm,norm_ratio,mean_abs_diff,median_abs_diff,max_abs_diff,mse,rmse,l2_norm_difference,relative_l2_error,cosine_similarity,sign_mismatch_ratio,nonzero_difference_ratio,p50_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,p99_9_abs_diff
42,input,"[32, 128, 128, 3]",1572864,0.395276793928853,0.395276793928853,0.23542967709561452,0.23542967709561452,577.0004348110187,577.0004348110187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,conv1,"[32, 128, 128, 32]",16777216,-0.00536261526020412,-0.00536261526020412,0.18537880890189626,0.18537880890189626,759.6292391622288,759.6292391622288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,bn1,"[32, 128, 128, 32]",16777216,6.762019832962096e-10,8.120622249836208e-09,0.8715457248551526,0.871545721755066,3569.851289007973,3569.851276309462,0.999999996442846,5.449776884521185e-08,4.470348358154297e-08,9.5367431640625e-07,6.145052752682609e-15,7.839038686396827e-08,0.0003210870245948143,8.994408971137879e-08,0.9999999999997204,5.960464477539063e-08,0.6906805038452148,4.470348358154297e-08,1.1920928955078125e-07,1.4528632164001465e-07,2.384185791015625e-07,2.384185791015625e-07
42,relu1,"[32, 128, 128, 32]",16777216,0.34516466727936135,0.34516466994356376,0.5103099886055549,0.5103099890203997,2523.4648953724127,2523.464902893597,1.000000002980499,2.643671535072941e-08,0.0,9.5367431640625e-07,2.9078250819827524e-15,5.3924253188920036e-08,0.00022087374106181652,8.752796236973452e-08,0.9999999999998309,5.960464477539063e-08,0.3435567617416382,0.0,1.1920928955078125e-07,1.1920928955078125e-07,1.7881393432617188e-07,2.384185791015625e-07
42,pool1,"[32, 64, 64, 32]",4194304,0.40659739948232154,0.40659740243091996,0.5652784929460878,0.565278493210602,1426.0628856664825,1426.0628896323894,1.0000000027810183,2.9291960726818996e-08,0.0,9.5367431640625e-07,3.3271128704045776e-15,5.7681130973695184e-08,0.00011813095623412774,8.283712947931738e-08,0.9999999999999247,2.384185791015625e-07,0.3708231449127197,0.0,1.1920928955078125e-07,1.1920928955078125e-07,2.384185791015625e-07,2.384185791015625e-07
42,conv2,"[32, 64, 64, 64]",8388608,0.06989154860703085,0.0698915522045036,0.5123902775796823,0.5123902794779216,1497.782996348959,1497.7830032045915,1.0000000045771869,5.832779296534307e-08,5.21540641784668e-08,1.5497207641601562e-06,6.475033247727687e-15,8.046759128821793e-08,0.00023305903909128788,1.5560267314600638e-07,0.9999999999998354,1.1920928955078125e-07,0.8295238018035889,5.21540641784668e-08,1.1920928955078125e-07,1.564621925354004e-07,2.384185791015625e-07,3.8743019104003906e-07
42,bn2,"[32, 64, 64, 64]",8388608,2.83761147912287e-09,-1.0449427695737382e-09,0.9963338528211628,0.9963338417570083,2885.6910792935914,2885.6910472482477,0.9999999888950887,1.524971173489035e-07,1.1920928955078125e-07,4.76837158203125e-06,4.470676830706115e-14,2.114397510097407e-07,0.0006123949332536644,2.1221777259802074e-07,0.99999999999979,0.0,0.8658894300460815,1.1920928955078125e-07,3.5762786865234375e-07,4.470348358154297e-07,7.152557373046875e-07,1.0728836059570312e-06
42,relu2,"[32, 64, 64, 64]",8388608,0.3799684981512208,0.3799684912390545,0.6037813490718077,0.6037813422101896,2066.2035959483583,2066.20356846545,0.9999999866988383,7.781331498850136e-08,0.0,4.76837158203125e-06,2.3485483324347484e-14,1.5324974167791436e-07,0.00044385866365149177,2.1481845473595108e-07,0.9999999999998453,0.0,0.426602840423584,0.0,2.384185791015625e-07,3.5762786865234375e-07,5.960464477539062e-07,9.5367431640625e-07
42,pool2,"[32, 32, 32, 64]",2097152,0.5532370474366024,0.5532370386077294,0.7431734526759929,0.7431734447735432,1341.696375266394,1341.6963584519963,0.9999999874678072,1.0113676529810396e-07,2.9802322387695312e-08,3.814697265625e-06,3.240263873087362e-14,1.8000732965874923e-07,0.00026067845829628707,1.9429020089923798e-07,0.9999999999999144,0.0,0.5244574546813965,2.9802322387695312e-08,2.868473529815674e-07,3.725290298461914e-07,6.556510925292969e-07,1.0728836059570312e-06
42,conv3,"[32, 32, 32, 128]",4194304,-0.0033477959297725703,-0.0033477954357327665,0.7189558561995957,0.7189558451280256,1472.4375564534234,1472.4375337743948,0.9999999845976295,1.4475479898946875e-07,1.1920928955078125e-07,2.9206275939941406e-06,3.9393585904035545e-14,1.9847817488085572e-07,0.0004064833021559925,2.7606148754794444e-07,0.999999999999809,0.0,0.8948044776916504,1.1920928955078125e-07,2.980232238769531e-07,4.0978193283081055e-07,5.960464477539062e-07,9.5367431640625e-07
