seed,parameter,keras_native_delta_norm,keras_reference_delta_norm,keras_native_vs_reference_mean_abs_diff,keras_native_vs_reference_max_abs_diff,keras_native_vs_reference_relative_l2,pytorch_native_delta_norm,pytorch_reference_delta_norm,pytorch_native_vs_reference_mean_abs_diff,pytorch_native_vs_reference_max_abs_diff,pytorch_native_vs_reference_relative_l2,reference_keras_grad_vs_pytorch_grad_delta_mean_abs_diff,reference_keras_grad_vs_pytorch_grad_delta_max_abs_diff,reference_keras_grad_vs_pytorch_grad_delta_relative_l2
123,conv1/kernel,0.0293656326433318,0.029392939229238864,9.461913218917788e-07,0.00011046755542942722,0.00573897027657946,0.029392947080994852,0.029392942418799365,1.5587819799660254e-09,7.46093513988473e-09,2.1154765373366768e-06,1.505949496201009e-10,1.0517266238073072e-07,3.5972099381757355e-06
123,bn1/gamma,0.005646040199857268,0.005656507598997872,1.8570739699786944e-06,1.760519062990744e-05,0.003994769524373633,0.005656549655054939,0.005656507569769915,2.7386509941265387e-08,5.7943421322538893e-08,3.4552205756990666e-05,7.893656058931709e-12,9.556765231608089e-11,2.199877921764925e-08
123,bn1/beta,0.005651283323502867,0.005656678825549913,9.543385859346035e-07,4.055002554557248e-06,0.0013865888196349682,0.005656678319432655,0.005656678835011491,9.533962285417736e-11,1.9239176658053525e-10,1.0844475639055529e-07,3.092286118193486e-12,5.012689807508408e-11,9.510857069185261e-09
123,conv2/kernel,0.13540392541786905,0.13574924972981756,2.715567766139033e-06,0.0006901811942044351,0.017481295673829826,0.1357491361540423,0.13574914589460302,9.266806357530832e-10,3.9217542898047075e-09,1.261556291887298e-06,1.5662427487361392e-09,1.756781822743114e-05,0.0001330453540501255
123,bn2/gamma,0.007991683400828432,0.00799973742252378,1.0073006675053844e-06,5.956485442414018e-06,0.0014290859556949688,0.007999695847625412,0.007999737426371658,2.705203913085929e-08,5.941753606427021e-08,3.474675832307717e-05,9.45352028944432e-13,9.822254771682526e-12,2.2632889945995574e-09
123,bn2/beta,0.007981548853190214,0.007999410553816177,2.2412197371094195e-06,2.567911944060218e-05,0.004575895886074103,0.007999409992416138,0.007999410520123885,8.156698607218889e-11,2.0402232767807726e-10,9.683375002416662e-08,6.83340040910814e-12,1.7517934281993663e-10,2.583214272907205e-08
123,conv3/kernel,0.2705335549479643,0.2714791813617412,3.7417698401050907e-06,0.0006973666302653301,0.020768402857385373,0.2714790431242047,0.27147906599341487,6.110602207011822e-10,2.1356043966667265e-09,8.005590291509702e-07,8.413963863570157e-09,0.0003766726792448318,0.0014178081980135953
123,bn3/gamma,0.011257350852063329,0.01131173621362135,4.968062006303794e-06,0.00015007158693564494,0.01796805822828323,0.011311673861197762,0.011311737578262784,2.591455338358628e-08,5.813260332593502e-08,3.106261163280072e-05,1.2302529504803724e-10,1.2468484150967435e-08,1.1158567114125904e-06
123,bn3/beta,0.011261252275291848,0.011311946080220148,4.567881895015103e-06,0.0001315069647564633,0.013506408691417905,0.011311946785574905,0.011311947518724566,7.870954349441586e-11,2.2507175008283642e-10,9.443725167480306e-08,1.4660289695333042e-10,1.7042164733669513e-08,1.5078838186461821e-06
123,conv4/kernel,0.5400015987846394,0.542906592293664,5.770591904941392e-06,0.0006980378645532431,0.026925254624041276,0.542906505604478,0.5429065506328994,4.792078464514979e-10,2.170451944690996e-09,6.526754316431509e-07,1.5070195612511112e-09,9.518804841156749e-05,0.00024107041399848309
123,bn4/gamma,0.01597613107911941,0.015999223523113084,1.4593324377440418e-06,6.210035108082765e-05,0.00566751760150529,0.01599925041159933,0.015999223516336557,2.5314815205632974e-08,5.957034030098195e-08,3.319074457515083e-05,5.052344913625078e-13,9.031989175664612e-11,5.809887492941085e-09
123,bn4/beta,0.015972158316736845,0.01599907702556632,1.7111631829620578e-06,9.110151204061402e-05,0.007519501293657845,0.015999075689508983,0.01599907700950918,9.085197878231743e-11,2.555542758745505e-10,1.0656108265468404e-07,1.251680894619623e-12,2.7950540471520513e-10,1.7502833527820016e-08
123,fc128/kernel,0.1541209162329159,0.15429135107156344,8.359068951407416e-07,0.0006980060441825172,0.008805812041543095,0.1542912925242059,0.15429135147521525,9.628032896838884e-10,7.438051205553922e-09,1.740668722124266e-06,3.640390078430867e-12,8.530201126033012e-08,5.564171936626054e-07
123,fc128/bias,0.00963201196847517,0.00964327407562651,8.566843395197172e-07,4.033981293202521e-05,0.004740071622468579,0.009643273213803294,0.009643274070569292,6.786432793357737e-11,2.931590870666051e-10,1.094118038383543e-07,4.557782916272263e-13,3.5187187798907393e-11,4.122714509648757e-09
123,logits/kernel,0.02718185847766764,0.027272596269014127,2.5978476870370965e-06,0.0003823582978909441,0.021629400145168058,0.027272617072111156,0.02727259619648833,1.8280373705587927e-09,7.49650651537398e-09,3.1822226284938707e-06,2.0506051349736607e-12,1.8406129584890019e-09,6.762112877803505e-08
123,logits/bias,0.0028283097503221098,0.002828424008467576,4.039644956055095e-08,6.555121138062357e-08,4.254284615285982e-05,0.0028284237605718534,0.002828424008467289,9.344308535491966e-11,1.343295999607641e-10,1.0174624197946151e-07,1.146543797403421e-16,3.13768108717305e-16,1.64296988701841e-13
