seed,parameter,rank,flat_index,canonical_index,keras_value,pytorch_value,absolute_difference
42,bn1/beta,4,11,[11],0.0009984076023101807,0.000999949872493744,1.5422701835632324e-06
42,bn1/beta,5,23,[23],-0.0009986156364902854,-0.000999956508167088,1.3408716768026352e-06
42,bn1/beta,6,16,[16],0.0009988179663196206,0.0009999623289331794,1.1443626135587692e-06
42,bn1/beta,7,14,[14],-0.0009989234386011958,-0.0009999662870541215,1.042848452925682e-06
42,bn1/beta,8,19,[19],0.000999031588435173,0.0009999695466831326,9.379582479596138e-07
42,bn1/beta,9,24,[24],-0.000999044394120574,-0.0009999698959290981,9.255018085241318e-07
42,bn1/beta,10,21,[21],-0.0009991980623453856,-0.0009999745525419712,7.764901965856552e-07
42,conv2/kernel,1,16968,"[2, 2, 9, 8]",-0.0009254775941371918,0.0009375866502523422,0.001863064244389534
42,conv2/kernel,2,13841,"[2, 0, 24, 17]",-0.0008344422094523907,0.0009957184083759785,0.0018301606178283691
42,conv2/kernel,3,10435,"[1, 2, 3, 3]",-0.000828850083053112,0.0009982753545045853,0.0018271254375576973
42,conv2/kernel,4,7700,"[1, 0, 24, 20]",0.0008148811757564545,-0.0009913928806781769,0.0018062740564346313
42,conv2/kernel,5,3292,"[0, 1, 19, 28]",-0.0006958208978176117,0.0009933523833751678,0.0016891732811927795
42,conv2/kernel,6,16626,"[2, 2, 3, 50]",-0.0006348229944705963,0.0009193494915962219,0.0015541724860668182
42,conv2/kernel,7,6778,"[1, 0, 9, 58]",0.0005138088017702103,-0.0009965058416128159,0.0015103146433830261
42,conv2/kernel,8,3473,"[0, 1, 22, 17]",0.0003379136323928833,-0.0008376464247703552,0.0011755600571632385
42,conv2/kernel,9,814,"[0, 0, 12, 46]",0.00014957040548324585,-0.0009963791817426682,0.001145949587225914
42,conv2/kernel,10,3118,"[0, 1, 16, 46]",9.706243872642517e-05,0.0009969919919967651,0.00089992955327034
42,bn2/gamma,1,61,[61],-0.0009590983390808105,-0.0009983181953430176,3.921985626220703e-05
42,bn2/gamma,2,40,[40],0.0009710788726806641,0.0009990930557250977,2.8014183044433594e-05
42,bn2/gamma,3,8,[8],0.0009827613830566406,0.00099945068359375,1.6689300537109375e-05
42,bn2/gamma,4,62,[62],0.000983595848083496,0.00099945068359375,1.5854835510253906e-05
42,bn2/gamma,5,38,[38],0.0009894371032714844,0.0009996891021728516,1.0251998901367188e-05
42,bn2/gamma,6,10,[10],-0.000990748405456543,-0.0009996891021728516,8.940696716308594e-06
42,bn2/gamma,7,58,[58],-0.0009924769401550293,-0.000999748706817627,7.271766662597656e-06
42,bn2/gamma,8,59,[59],0.0009931325912475586,0.0009998083114624023,6.67572021484375e-06
42,bn2/gamma,9,42,[42],0.0009946823120117188,0.0009998083114624023,5.125999450683594e-06
42,bn2/gamma,10,32,[32],0.0009951591491699219,0.0009998083114624023,4.649162292480469e-06
42,bn2/beta,1,26,[26],-0.0009578351164236665,-0.0009985696524381638,4.073453601449728e-05
42,bn2/beta,2,48,[48],-0.0009748491575010121,-0.000999018782749772,2.4169625248759985e-05
