layer,shape,keras_mean,pytorch_mean,keras_std,pytorch_std,mean_abs_diff,max_abs_diff,mse,rmse,cosine_similarity
input,"[32, 128, 128, 3]",0.395276793928853,0.395276793928853,0.23542967709561452,0.23542967709561452,0.0,0.0,0.0,0.0,1.0000000000000002
conv1,"[32, 128, 128, 32]",-0.00536261526020412,-0.00536261526020412,0.18537880890189626,0.18537880890189626,0.0,0.0,0.0,0.0,1.0
bn1,"[32, 128, 128, 32]",6.762019832962096e-10,8.120622249836208e-09,0.8715457248551526,0.871545721755066,5.449776884521185e-08,9.5367431640625e-07,6.145052752682609e-15,7.839038686396827e-08,0.9999999999997204
relu1,"[32, 128, 128, 32]",0.34516466727936135,0.34516466994356376,0.5103099886055549,0.5103099890203997,2.643671535072941e-08,9.5367431640625e-07,2.9078250819827524e-15,5.3924253188920036e-08,0.9999999999998309
pool1,"[32, 64, 64, 32]",0.40659739948232154,0.40659740243091996,0.5652784929460878,0.565278493210602,2.9291960726818996e-08,9.5367431640625e-07,3.3271128704045776e-15,5.7681130973695184e-08,0.9999999999999247
conv2,"[32, 64, 64, 64]",0.06989154860703085,0.0698915522045036,0.5123902775796823,0.5123902794779216,5.832779296534307e-08,1.5497207641601562e-06,6.475033247727687e-15,8.046759128821793e-08,0.9999999999998354
bn2,"[32, 64, 64, 64]",2.83761147912287e-09,-1.0449427695737382e-09,0.9963338528211628,0.9963338417570083,1.524971173489035e-07,4.76837158203125e-06,4.470676830706115e-14,2.114397510097407e-07,0.99999999999979
relu2,"[32, 64, 64, 64]",0.3799684981512208,0.3799684912390545,0.6037813490718077,0.6037813422101896,7.781331498850136e-08,4.76837158203125e-06,2.3485483324347484e-14,1.5324974167791436e-07,0.9999999999998453
pool2,"[32, 32, 32, 64]",0.5532370474366024,0.5532370386077294,0.7431734526759929,0.7431734447735432,1.0113676529810396e-07,3.814697265625e-06,3.240263873087362e-14,1.8000732965874923e-07,0.9999999999999144
conv3,"[32, 32, 32, 128]",-0.0033477959297725703,-0.0033477954357327665,0.7189558561995957,0.7189558451280256,1.4475479898946875e-07,2.9206275939941406e-06,3.9393585904035545e-14,1.9847817488085572e-07,0.999999999999809
bn3,"[32, 32, 32, 128]",-4.121939345402836e-09,-2.7818200434154283e-09,0.9982225939947951,0.9982225965635727,2.718708082570981e-07,6.198883056640625e-06,1.3887563924912085e-13,3.726602195688733e-07,0.9999999999997848
relu3,"[32, 32, 32, 128]",0.3757102825169105,0.3757102828089509,0.5941093831902102,0.5941093867740053,1.3650878711286385e-07,6.198883056640625e-06,6.98081319941169e-14,2.6421228585006584e-07,0.9999999999998298
pool3,"[32, 16, 16, 128]",0.6602231580869043,0.6602231602255055,0.7700386266222486,0.7700386318833852,2.007642079665528e-07,6.198883056640625e-06,1.0749175357337247e-13,3.278593502912071e-07,0.9999999999998941
conv4,"[32, 16, 16, 256]",0.05345119889366365,0.05345119729458722,0.719178041331581,0.719178044958259,2.500481888767503e-07,3.6954879760742188e-06,1.0998521926679551e-13,3.316401954932416e-07,0.9999999999997923
bn4,"[32, 16, 16, 256]",-9.1050017525518e-10,-3.5038446915473635e-09,0.9984100172855305,0.9984100135321822,4.437160626392597e-07,6.4373016357421875e-06,3.4829528797998664e-13,5.901654750830369e-07,0.9999999999997278
relu4,"[32, 16, 16, 256]",0.38215594508909845,0.38215594196249225,0.5974647376981395,0.5974647349156603,2.2242288716617462e-07,6.079673767089844e-06,1.7563605752359863e-13,4.1908955787945685e-07,0.999999999999748
pool4,"[32, 8, 8, 256]",0.7861646689583016,0.7861646653664577,0.775475067523397,0.7754750652144166,3.628522867952372e-07,5.4836273193359375e-06,2.9421706864401825e-13,5.424177989742024e-07,0.9999999999998325
gap,"[32, 256]",0.7861646692263093,0.7861646654769174,0.26398882595415407,0.2639888231519249,7.269727575476281e-08,4.76837158203125e-07,1.0007540111813158e-14,1.00037693455083e-07,0.9999999999999946
fc128,"[32, 128]",0.09708069097174743,0.09708069429113841,0.9592996400755239,0.9592996363628722,1.8122094935790756e-07,1.1920928955078125e-06,5.765029554396676e-14,2.401047595196038e-07,0.9999999999999698
dense128_relu,"[32, 128]",0.4290043321817052,0.4290043325968327,0.6097946156692006,0.6097946136971859,9.866147365755751e-08,1.1920928955078125e-06,3.2055211695580415e-14,1.7903969307273852e-07,0.999999999999972
logits,"[32, 8]",-0.09756622617715038,-0.09756624206784181,1.1578911935975655,1.15789121449963,2.0081643015146255e-07,9.5367431640625e-07,7.010060934509177e-14,2.64765196627298e-07,0.9999999999999744
