parameter,delta_norm_keras,delta_norm_pytorch,delta_mean_abs_diff,delta_max_abs_diff,updated_weight_max_abs_diff
conv1/kernel,0.029335277155041695,0.029388565570116043,2.8834392651333474e-06,0.0012096837162971497,0.0012096837162971497
bn1/gamma,0.0056502423249185085,0.0056566339917480946,1.1324882507324219e-06,9.417533874511719e-06,9.417533874511719e-06
bn1/beta,0.005648953374475241,0.005656602326780558,1.3576172932516783e-06,1.7583020962774754e-05,1.7583020962774754e-05
conv2/kernel,0.13544391095638275,0.13575078547000885,2.399147660980816e-06,0.000697210431098938,0.000697210431098938
bn2/gamma,0.007978484965860844,0.00799928605556488,2.6207417249679565e-06,4.291534423828125e-05,4.291534423828125e-05
bn2/beta,0.007982101291418076,0.007999429479241371,2.172184395021759e-06,1.6294186934828758e-05,1.6294186934828758e-05
conv3/kernel,0.27063992619514465,0.27148550748825073,3.326369096612325e-06,0.0007043145596981049,0.0007043145596981049
bn3/gamma,0.011282125487923622,0.011312630958855152,2.7175992727279663e-06,5.6803226470947266e-05,5.6803226470947266e-05
bn3/beta,0.011270764283835888,0.011312308721244335,3.707819814735558e-06,7.081881631165743e-05,7.081881631165743e-05
conv4/kernel,0.5405503511428833,0.5429366230964661,4.711343990493333e-06,0.0006996896117925644,0.0006996896117925644
bn4/gamma,0.015951834619045258,0.015998078510165215,3.094784915447235e-06,0.00026100873947143555,0.00026100873947143555
bn4/beta,0.015936773270368576,0.015997514128684998,4.07057677875855e-06,0.00027142668841406703,0.00027142668841406703
fc128/kernel,0.1571630835533142,0.157557412981987,2.040481831500074e-06,0.0006974376738071442,0.0006974376738071442
fc128/bias,0.009828629903495312,0.009848197922110558,1.5220271052385215e-06,5.655566928908229e-05,5.655566928908229e-05
logits/kernel,0.027770355343818665,0.027853870764374733,2.322942918908666e-06,0.00010442733764648438,0.00010442733764648438
logits/bias,0.002826337469741702,0.002828361000865698,7.170165190473199e-07,5.219131708145142e-06,5.219131708145142e-06
