seed,parameter,keras_native_delta_norm,keras_reference_delta_norm,keras_native_vs_reference_mean_abs_diff,keras_native_vs_reference_max_abs_diff,keras_native_vs_reference_relative_l2,pytorch_native_delta_norm,pytorch_reference_delta_norm,pytorch_native_vs_reference_mean_abs_diff,pytorch_native_vs_reference_max_abs_diff,pytorch_native_vs_reference_relative_l2,reference_keras_grad_vs_pytorch_grad_delta_mean_abs_diff,reference_keras_grad_vs_pytorch_grad_delta_max_abs_diff,reference_keras_grad_vs_pytorch_grad_delta_relative_l2
42,conv1/kernel,0.029366019511551152,0.029392988759121975,9.220279259465719e-07,3.619455028785589e-05,0.0030506558296324498,0.029392966509834896,0.029392964345685415,1.5969987545432696e-09,7.179172334522907e-09,2.145261248434327e-06,2.313503926685976e-06,0.0019972108808409333,0.06794855407363613
42,bn1/gamma,0.005650664134801037,0.00565665838801718,1.062307597855164e-06,1.3109065454042657e-05,0.0024736906807697767,0.0056566866095739835,0.0056566641662094365,2.8292272851964512e-08,5.887519285139621e-08,3.578278675463307e-05,1.1140671275514861e-09,3.164681069913085e-08,5.601742908163954e-06
42,bn1/beta,0.005650464152713343,0.0056566522944492045,1.0955594395143558e-06,7.511127425946073e-06,0.0020675980720874544,0.005656655913955928,0.0056566563429956565,7.960792070579696e-11,1.994297656703059e-10,9.496895744831541e-08,7.583379206299633e-10,1.2205781934867058e-08,2.6082444518109297e-06
42,conv2/kernel,0.13543951846439942,0.1357489639057816,2.4360049410517394e-06,0.0006980313562324392,0.015987666441275,0.1357511050917049,0.135751115986098,9.207644969482568e-10,3.91209341375591e-09,1.2662738545341958e-06,9.821946681537918e-07,0.001991787749304692,0.04273631433190807
42,bn2/gamma,0.007974723981744139,0.007999182364802432,3.0799368315076864e-06,3.9555155082544174e-05,0.0071955851728719615,0.007999070237109862,0.00799915627577802,2.9173926410656968e-08,5.9199374865094925e-08,3.5195399273974056e-05,7.809249382469407e-09,3.0836116618124243e-07,4.025716643115815e-05
42,bn2/beta,0.007978687721955998,0.007999312168180048,2.5963784142873696e-06,4.0774969239895306e-05,0.006401140279966606,0.00799928831666813,0.007999288862915302,7.938733602991916e-11,2.2684652637230962e-10,9.583971311816633e-08,3.748248939777299e-09,1.6618399585914198e-07,2.1530259957417733e-05
42,conv3/kernel,0.2706406572829956,0.2714876265466611,3.3442413141546566e-06,0.0006977594872965863,0.01959218579878428,0.27148659099350414,0.27148661355361,6.099645730657793e-10,2.1067367709289714e-09,7.999803704961871e-07,1.1426926730053976e-06,0.0019872345370425338,0.04572001274271131
42,bn3/gamma,0.011243364102324602,0.011310100601074688,6.850618234501325e-06,0.0003993938374599604,0.041922995600878164,0.01131173902026059,0.011311821110274118,2.6426432225332396e-08,5.951473181268173e-08,3.30659028373297e-05,1.5447626358901902e-07,1.6342170371843722e-05,0.0014752708126063606
42,bn3/beta,0.011274658110798846,0.011312434100522151,3.3733566729455472e-06,8.474276447865622e-05,0.008684425791509251,0.011312419768714497,0.011312420521357485,7.710782082180287e-11,2.2176896517095424e-10,9.44669384328939e-08,1.965606378647556e-09,1.8447958833114897e-07,1.64651046864258e-05
42,conv4/kernel,0.5405424326663918,0.5429371269128145,4.7333431836570025e-06,0.0006980402797492937,0.02361371385419321,0.5429372256489402,0.5429372710491702,4.78917031851661e-10,2.1420088873198156e-09,6.524564526633454e-07,6.216428391342606e-08,0.0019987167848068603,0.011032612083841596
42,bn4/gamma,0.015990789212103743,0.015999709781376725,5.581854384308856e-07,9.189180587160835e-06,0.0012371296354267193,0.015999835005471894,0.015999709781354128,2.6537150057099294e-08,5.965646950631225e-08,3.4461270296350414e-05,3.382624041980975e-14,1.8963984028952385e-12,1.8370954655748004e-10
42,bn4/beta,0.01598879483130358,0.01599963871816216,6.843438830586515e-07,5.570184345129233e-05,0.0035787910818932543,0.015999637400362414,0.015999638723961842,8.896622529658022e-11,3.4096695388993736e-10,1.0615472224775127e-07,3.8795771879329005e-13,9.322516109772083e-11,5.828789051040906e-09
42,fc128/kernel,0.15577043229043205,0.15594244513322808,8.473270050030513e-07,0.0003982259218213613,0.008516946325636885,0.1559423852511641,0.155942445165958,9.649286373936156e-10,7.222211920090288e-09,1.7197630725608712e-06,1.2475067528434066e-12,1.824535733564378e-08,1.4642752888381345e-07
42,fc128/bias,0.009741320441988676,0.009746619280125088,4.066786047305284e-07,2.7926587602840032e-05,0.0028892357283430707,0.009746618403982709,0.009746619280563033,7.06334021152266e-11,2.1105120949493905e-10,1.0866536654771712e-07,3.624610682396393e-14,4.168502782536665e-12,4.283628820243724e-10
42,logits/kernel,0.027437417659750926,0.027562550823601335,3.6788494416820944e-06,0.00040816035857136853,0.02794748675849704,0.027562565938022084,0.027562550877626227,1.781194410871645e-09,7.522108830563742e-09,3.031731851727325e-06,3.097358767803993e-12,2.0703893391371686e-09,7.706101109228345e-08
42,logits/bias,0.00282820031492043,0.002828420545653046,7.786570004972445e-08,2.0049054852530786e-07,0.0001026004122752109,0.002828420344378903,0.0028284205456521115,7.36554399557391e-11,1.506751307923937e-10,8.813238215014785e-08,4.719532056829401e-16,2.9676781865273227e-15,1.0606874046151463e-12
