parameter,delta_norm_keras,delta_norm_pytorch,delta_mean_abs_diff,delta_max_abs_diff,updated_weight_max_abs_diff
conv1/kernel,0.02936563454568386,0.029392948374152184,9.464588401897345e-07,0.00011045671999454498,0.00011045671999454498
bn1/gamma,0.0056460401974618435,0.005656549707055092,1.864507794380188e-06,1.7642974853515625e-05,1.7642974853515625e-05
bn1/beta,0.005651283077895641,0.005656678229570389,9.542491170577705e-07,4.0549784898757935e-06,4.0549784898757935e-06
conv2/kernel,0.13540391623973846,0.13574913144111633,2.714649326662766e-06,0.0006899908185005188,0.0006899908185005188
bn2/gamma,0.007991683669388294,0.007999695837497711,1.0021030902862549e-06,5.9604644775390625e-06,5.9604644775390625e-06
bn2/beta,0.007981549017131329,0.007999409921467304,2.2411495592677966e-06,2.567889168858528e-05,2.567889168858528e-05
conv3/kernel,0.27053356170654297,0.27147915959358215,3.738532541319728e-06,0.000712178647518158,0.000712178647518158
bn3/gamma,0.011257350444793701,0.011311673559248447,4.962552338838577e-06,0.0001500844955444336,0.0001500844955444336
bn3/beta,0.01126125268638134,0.01131194643676281,4.567944870359497e-06,0.00013152387691661716,0.00013152387691661716
conv4/kernel,0.5400015711784363,0.5429052114486694,5.770581083197612e-06,0.0007002074271440506,0.0007002074271440506
bn4/gamma,0.015976130962371826,0.01599925011396408,1.461012288928032e-06,6.210803985595703e-05,6.210803985595703e-05
bn4/beta,0.015972157940268517,0.015999075025320053,1.711079676169902e-06,9.110121754929423e-05,9.110121754929423e-05
fc128/kernel,0.15412090718746185,0.15429124236106873,8.356315674973303e-07,0.000698089599609375,0.000698089599609375
fc128/bias,0.009632011875510216,0.009643273428082466,8.566194082959555e-07,4.033965524286032e-05,4.033965524286032e-05
logits/kernel,0.02718186005949974,0.02727261744439602,2.598401806608308e-06,0.00038236379623413086,0.00038236379623413086
logits/bias,0.002828309778124094,0.0028284236323088408,4.030880518257618e-08,6.542541086673737e-08,6.542541086673737e-08
