seed,parameter,m_shape,m_num_elements,m_keras_mean,m_pytorch_mean,m_keras_std,m_pytorch_std,m_keras_norm,m_pytorch_norm,m_norm_ratio,m_mean_abs_diff,m_median_abs_diff,m_max_abs_diff,m_mse,m_rmse,m_l2_norm_difference,m_relative_l2_error,m_cosine_similarity,m_sign_mismatch_ratio,m_nonzero_difference_ratio,m_p50_abs_diff,m_p90_abs_diff,m_p95_abs_diff,m_p99_abs_diff,m_p99_9_abs_diff,v_shape,v_num_elements,v_keras_mean,v_pytorch_mean,v_keras_std,v_pytorch_std,v_keras_norm,v_pytorch_norm,v_norm_ratio,v_mean_abs_diff,v_median_abs_diff,v_max_abs_diff,v_mse,v_rmse,v_l2_norm_difference,v_relative_l2_error,v_cosine_similarity,v_sign_mismatch_ratio,v_nonzero_difference_ratio,v_p50_abs_diff,v_p90_abs_diff,v_p95_abs_diff,v_p99_abs_diff,v_p99_9_abs_diff
42,conv1/kernel,"[3, 3, 3, 32]",864,0.0011400616163215276,0.0011418301048438354,0.00517737556065903,0.005179214258860174,0.15582902127634268,0.1558929869717272,1.0004104864091463,5.771496572248435e-06,3.278837539255619e-06,3.7536025047302246e-05,7.774058397812179e-11,8.817062094491667e-06,0.00025916763794327647,0.0016624714361928236,0.9999987017420855,0.0011574074074074073,1.0,3.278837539255619e-06,1.612700725672767e-05,1.9979337230324726e-05,2.9888032004237177e-05,3.492912231013196e-05,"[3, 3, 3, 32]",864,2.8104958845606845e-06,2.812803659705891e-06,5.948218528211522e-06,5.9523905325358745e-06,0.00019337550214773471,0.00019351535934549022,1.000723241549225,5.628091149393928e-09,8.734630796425336e-10,8.11269273981452e-08,1.577859274506467e-16,1.2561286854882613e-08,3.6922491968630545e-07,0.0019079876705141237,0.9999984398252245,0.0,1.0,8.734630796425336e-10,1.9677145246532756e-08,2.895935722335706e-08,5.362468073144556e-08,8.056494334596214e-08
42,bn1/gamma,[32],32,-8.128473609758657e-07,-8.138447924466163e-07,0.0009696263855258309,0.0009704053975633675,0.005485037066722432,0.0054894438274592835,1.0008034149420042,1.9276479292784643e-06,1.7689535525278188e-06,4.925823304802179e-06,5.218667677713466e-12,2.28444034234065e-06,1.2922746058281533e-05,0.0023541084423961862,0.999997549339228,0.0,1.0,1.7689535525278188e-06,3.711186582222581e-06,4.2190171370748425e-06,4.845201037824155e-06,4.917761078104378e-06,[32],32,9.40176019258469e-08,9.416873174360012e-08,1.258367468923531e-07,1.2601450629696024e-07,8.885799248749595e-07,8.898971776193427e-07,1.0014824246052696,3.166386674342478e-10,2.0372059594819802e-10,9.919034482663847e-10,1.8436192224673933e-19,4.293738723382448e-10,2.4289054143575987e-09,0.002729422539416765,0.9999973667693471,0.0,1.0,2.0372059594819802e-10,7.803656387750381e-10,8.484825286814156e-10,9.625064478768765e-10,9.889637482274343e-10
42,bn1/beta,[32],32,4.656551027437672e-05,4.60863105899989e-05,0.0009070087433269047,0.0009071225601395015,0.005137573613194661,0.005138078355612235,1.0000982452915668,1.6159032156792819e-06,1.3805820344714448e-06,4.984904080629349e-06,4.175442884283499e-12,2.0433900470256526e-06,1.1559159670887498e-05,0.002249704825591386,0.9999974739910752,0.0,1.0,1.3805820344714448e-06,3.549235407263042e-06,4.041718784719705e-06,4.7365413047373305e-06,4.9600678030401506e-06,[32],32,8.248332191828495e-08,8.249952867210586e-08,9.540315969151128e-08,9.529232844329692e-08,7.134201852776396e-07,7.130060328780348e-07,0.999419483204777,2.7536020252155735e-10,1.6083223641771838e-10,1.1257412779741571e-09,1.788689469719576e-19,4.2292900937622805e-10,2.3924477639235185e-09,0.0033534904300366224,0.9999945423826042,0.0,1.0,1.6083223641771838e-10,7.809816793269421e-10,1.0031087072093212e-09,1.1177939995832277e-09,1.1249465501350644e-09
42,conv2/kernel,"[3, 3, 32, 64]",18432,-9.660531770346577e-06,-9.66889096214868e-06,0.0010040829925093864,0.0010042450096062665,0.13632513669560645,0.13634714276967017,1.0001614234512954,1.3268700547641423e-06,8.600763976573944e-07,1.4664983609691262e-05,3.917618862139928e-12,1.979297567860863e-06,0.00026871834858632776,0.001970839601972965,0.9999980706087933,0.00048828125,0.9999457465277778,8.600763976573944e-07,3.0642049750895252e-06,4.1526873246766635e-06,7.306507322937247e-06,1.1801344226114809e-05,"[3, 3, 32, 64]",18432,1.0082759938297342e-07,1.0086015380597811e-07,1.9204296744034094e-07,1.9208251211978093e-07,2.944766353353021e-05,2.9454471531606627e-05,1.0002311897536003,2.0821915249836955e-10,7.934569667966684e-11,6.642551397817442e-09,1.7986086273500976e-19,4.2410006217284354e-10,5.7577733733898355e-08,0.00195480450810715,0.9999981156461235,0.0013563368055555555,0.9999457465277778,7.934569667966684e-11,5.397339464252585e-10,8.481755742195678e-10,1.865364396280703e-09,3.4376089388389324e-09
42,bn2/gamma,[64],64,1.0872880551460185e-07,1.0897137059373563e-07,0.0006113449261013015,0.0006115030947152499,0.0048907594861608734,0.004892024835397874,1.000258722441899,1.0851669429712274e-06,8.322822395712137e-07,3.8800062611699104e-06,2.099922421448656e-12,1.449110907228517e-06,1.1592887257828137e-05,0.0023697523311705087,0.9999972248704814,0.0,1.0,8.322822395712137e-07,2.603831308078953e-06,3.152501085423863e-06,3.873478854075074e-06,3.879353520460427e-06,[64],64,3.7374263000934465e-08,3.7393604950065125e-08,6.312247386757537e-08,6.321233759613075e-08,5.86857788130692e-07,5.875552775644513e-07,1.001188515255086,1.225516699297595e-10,3.763833689163221e-11,1.4619558896811213e-09,6.47427132587153e-20,2.5444589456054365e-10,2.035567156484349e-09,0.003464469189898578,0.9999946970398339,0.0,1.0,3.763833689163221e-11,2.531262310867533e-10,4.727736424570137e-10,1.0305812736532953e-09,1.418818428078342e-09
42,bn2/beta,[64],64,-1.9635267364037645e-05,-1.9810046175905427e-05,0.0004235917976554782,0.000423774037582472,0.0033923731376411465,0.003393894497909486,1.000448464896582,5.866306977964086e-07,4.4660555431619287e-07,2.5132903829216957e-06,6.040294661347696e-13,7.7719332610025e-07,6.217546608802e-06,0.0018319799312064003,0.9999984216875121,0.0,1.0,4.4660555431619287e-07,1.3348530046641828e-06,1.6452700947411357e-06,2.2392200753529313e-06,2.4858833521648216e-06,[64],64,1.7981555405134782e-08,1.7997687389392325e-08,2.4858144706143005e-08,2.4879029169530888e-08,2.454401685813603e-07,2.4565117952539587e-07,1.0008597245726125,3.7468780628071435e-11,2.3651747227404485e-11,2.6425794885653886e-10,3.7218075061918036e-21,6.100661854415309e-11,4.880529483532247e-10,0.001986772256889444,0.9999983939169405,0.0,1.0,2.3651747227404485e-11,6.49271747477087e-11,1.4720645813426324e-10,2.3085490852281496e-10,2.6091764482316674e-10
42,conv3/kernel,"[3, 3, 64, 128]",73728,1.9850159430729484e-05,1.9857395717358627e-05,0.000631802500154472,0.0006318214414415419,0.1716373533408738,0.17164255562478659,1.0000303097420902,8.54786763135341e-07,5.614019755739719e-07,1.1050491593778133e-05,1.5407196210698548e-12,1.241257274327065e-06,0.0003370373513755384,0.0019636001698338,0.9999980725380722,0.0005696614583333334,0.9999864366319444,5.614019755739719e-07,2.0299194147810344e-06,2.687079904717391e-06,4.169353051111084e-06,6.225065182661666e-06,"[3, 3, 64, 128]",73728,3.995684333112614e-08,3.995926552748085e-08,8.153022733244452e-08,8.152492177325941e-08,2.4653468847552313e-05,2.4652464702963708e-05,0.9999592696429531,8.545249270926104e-11,3.459810216099868e-11,2.4163284706446575e-09,2.8657699304891553e-20,1.6928585087032983e-10,4.5966018473988323e-08,0.001864484821922007,0.9999982626068878,0.0011800130208333333,0.9999864366319444,3.459810216099868e-11,2.1828725493833198e-10,3.398024084333423e-10,7.178024574727688e-10,1.4171171898169648e-09
42,bn3/gamma,[128],128,1.9590387794199415e-06,1.959043894217416e-06,0.00048709846725794484,0.00048710833624665746,0.005510934638848591,0.005511046293039795,1.000020260481846,6.114431856385494e-07,4.127032298129052e-07,3.244844265282154e-06,7.304571828776577e-13,8.546678786977183e-07,9.669463243031652e-06,0.0017545603373435188,0.9999984609330649,0.0,1.0,4.127032298129052e-07,1.367132063023746e-06,1.6564808902330692e-06,2.81511194771156e-06,3.2147055608220444e-06,[128],128,2.372687586165715e-08,2.372783715668908e-08,4.059396253285904e-08,4.0598345224872204e-08,5.319650433355818e-07,5.32013340119333e-07,1.0000907893936946,4.89364163034012e-11,2.512023922207618e-11,4.58292959137907e-10,7.936120176219666e-21,8.908490431167149e-11,1.007880639042202e-09,0.0018944649749123392,0.9999982094592906,0.0,1.0,2.512023922207618e-11,1.272358218784575e-10,1.6667396351977003e-10,4.126149377725599e-10,4.548169556528597e-10
42,bn3/beta,[128],128,-2.8817751113408008e-05,-2.8814224036111113e-05,0.0002748471521819307,0.0002748258576403464,0.003126586275755751,0.0031263425078553145,0.9999220338481216,2.75714626241097e-07,2.43555405177176e-07,9.856739779934287e-07,1.2999603537091645e-13,3.605496295531538e-07,4.079153408181324e-06,0.0013046668309817616,0.9999991518954672,0.0,1.0,2.43555405177176e-07,5.871188477613031e-07,7.374284905381497e-07,9.74375943769701e-07,9.853062074398622e-07,[128],128,7.637142001855839e-09,7.635951143402053e-09,1.1794012254365243e-08,1.1788694816244147e-08,1.5896652750065468e-07,1.5890870851805288e-07,0.9996362820304949,1.2174947146639543e-11,5.907052624820608e-12,6.351541514959536e-11,3.4268372385147933e-22,1.8511718554782517e-11,2.0943618754405686e-10,0.0013174860823653226,0.9999991979688789,0.0078125,1.0,5.907052624820608e-12,3.284661431735002e-11,4.288120969420105e-11,5.303324002170485e-11,6.22647036152559e-11
42,conv4/kernel,"[3, 3, 128, 256]",294912,2.0575219380251817e-05,2.0580221246993687e-05,0.0004316976633500851,0.0004317038112583986,0.2347029940386286,0.23470645825322284,1.0000147599931923,2.922299052320441e-08,3.055902197957039e-10,5.682840128429234e-05,4.571139183024468e-13,6.761020028830316e-07,0.0003671626068575185,0.0015643481205846914,0.9999987764983247,3.0517578125e-05,0.9728427463107638,3.055902197957039e-10,9.022187441587448e-10,1.1641532182693481e-09,1.949956640601158e-09,1.0881083209825711e-05,"[3, 3, 128, 256]",294912,1.8678621461329576e-08,1.867917286715308e-08,3.460557394335639e-08,3.460549018238196e-08,2.135562512852796e-05,2.135572733373379e-05,1.000004785868136,1.066665250327144e-12,1.2434497875801753e-14,3.610347576454842e-09,1.0047024182038192e-21,3.169704115850278e-11,1.7213332029485713e-08,0.0008060288352855726,0.9999996751686436,4.0690104166666664e-05,0.9776068793402778,1.2434497875801753e-14,8.348877145181177e-14,1.3500311979441904e-13,3.410605131648481e-13,3.1501217145902255e-10
